col0,col1,MN ST MARY HOSPITAL,col3,K9MN,44.02,-92.48,
col0,col1,KS DODGE CITY,col3,KDDC,37.77,-99.97,
col0,col1,FL JACKSONVIL/CECIL,col3,KVQQ,30.22,-81.88,
col0,col1,LA VERMILION 331,col3,KVQT,28.27,-92.27,
col0,col1,VT BENNINGTON,col3,KDDH,42.9,-73.25,
col0,col1,IA OTTUMWA,col3,KOTM,41.1,-92.45,
col0,col1,OR NORTH BEND,col3,KOTH,43.42,-124.25,
col0,col1,MN WORTHINGTON,col3,KOTG,43.63,-95.57,
col0,col1,AZ BUCKEYE,col3,KBXK,33.42,-112.68,
col0,col1,IL LITCHFIELD MUNI,col3,K3LF,39.17,-89.67,
col0,col1,MD PATUXENT RIVER,col3,KNHK,38.27,-76.4,
col0,col1,ND CROSBY,col3,KD50,48.93,-103.3,
col0,col1,MI CHARLOTTE,col3,KFPK,42.57,-84.82,
col0,col1,No station name provided by NCAR/nsdc,col3,KW96,37.5,-77.12,
col0,col1,OK ARDMORE,col3,KADM,34.28,-97.02,
col0,col1,AZ PAYSON,col3,KPAN,34.25,-111.33,
col0,col1,MT SIDNEY RICHLAND,col3,KSDY,47.7,-104.2,
col0,col1,WV PETERSBURG,col3,KW99,39.0,-79.15,
col0,col1,AR ARKADELPHIA,col3,KADF,34.1,-93.07,
col0,col1,ID CHALLIS,col3,KLLJ,44.52,-114.22,
col0,col1,CA SANDBERG,col3,KSDB,34.75,-118.72,
col0,col1,IA SHENANDOAH MUNI,col3,KSDA,40.75,-95.42,
col0,col1,KY LOUISVILLE,col3,KSDF,38.18,-85.73,
col0,col1,FL FORT PIERCE,col3,KFPR,27.5,-80.38,
col0,col1,ND LANGDON/ROBERTSN,col3,KD55,48.75,-98.4,
col0,col1,IA AUDUBON,col3,KADU,41.7,-94.92,
col0,col1,AZ SCOTTSDALE,col3,KSDL,33.62,-111.92,
col0,col1,CA SAN DIEGO/BROWN,col3,KSDM,32.58,-117.0,
col0,col1,TX MARFA,col3,KMRF,30.37,-104.02,
col0,col1,WV MARTINSBURG,col3,KMRB,39.4,-77.98,
col0,col1,TN COLUMBIA,col3,KMRC,35.55,-87.18,
col0,col1,NC MORGANTON/LENOIR,col3,KMRN,35.82,-81.62,
col0,col1,WI MINERAL POINT,col3,KMRJ,42.88,-90.23,
col0,col1,NC BEAUFORT,col3,KMRH,34.73,-76.65,
col0,col1,OH MARYSVILLE,col3,KMRT,40.22,-83.35,
col0,col1,AZ COOLIDGE MUNI,col3,KP08,32.93,-111.43,
col0,col1,CA MONTEREY,col3,KMRY,36.58,-121.85,
col0,col1,TN SPARTA,col3,KSRB,36.05,-85.53,
col0,col1,AR SEARCY,col3,KSRC,35.22,-91.73,
col0,col1,FL SARASOTA/BRADENT,col3,KSRQ,27.4,-82.57,
col0,col1,NM SIERRA B/RUIDOSO,col3,KSRR,33.47,-105.52,
col0,col1,AR JONESBORO,col3,KJBR,35.83,-90.65,
col0,col1,CA VICTORVILLE,col3,KVCV,34.58,-117.38,
col0,col1,TX VICTORIA,col3,KVCT,28.87,-96.93,
col0,col1,MI HOWELL,col3,KOZW,42.62,-83.97,
col0,col1,MN BEMIDJI,col3,KBJI,47.5,-94.92,
col0,col1,AL OZARK/CAIRNS AAF,col3,KOZR,31.28,-85.72,
col0,col1,OH WOOSTER,col3,KBJJ,40.87,-81.88,
col0,col1,No station name provided by NCAR/nsdc,col3,K24J,30.3,-83.03,
col0,col1,LA GALLIANO,col3,KGAO,29.45,-90.27,
col0,col1,CO BROOMFIELD/JEFFC,col3,KBJC,39.9,-105.1,
col0,col1,CA VACAVILLE,col3,KVCB,38.38,-121.95,
col0,col1,TX OZONA,col3,KOZA,30.73,-101.2,
col0,col1,RI WESTERLY,col3,KWST,41.35,-71.8,
col0,col1,TX BRENHAM,col3,K11R,30.22,-96.37,
col0,col1,WA QUILLAYUTE,col3,KUIL,47.93,-124.55,
col0,col1,KS TOPEKA,col3,KTOP,39.07,-95.63,
col0,col1,WY TORRINGTON,col3,KTOR,42.07,-104.15,
col0,col1,CA TORRANCE MUNICIP,col3,KTOA,33.78,-118.32,
col0,col1,MN DODGE CENTER,col3,KTOB,44.02,-92.82,
col0,col1,GA TOCCOA,col3,KTOC,34.6,-83.3,
col0,col1,OH TOLEDO,col3,KTOL,41.58,-83.8,
col0,col1,AL TROY,col3,KTOI,31.85,-86.02,
col0,col1,IL TAYLORVILLE,col3,KTAZ,39.53,-89.33,
col0,col1,ME MILLINOCKET,col3,KMLT,45.65,-68.7,
col0,col1,LA MONROE,col3,KMLU,32.52,-92.03,
col0,col1,ID MULLAN PASS,col3,KMLP,47.45,-115.67,
col0,col1,ND ROLLA,col3,K06D,48.88,-99.62,
col0,col1,MA TAUNTON,col3,KTAN,41.88,-71.02,
col0,col1,IL MOLINE/QUAD CITY,col3,KMLI,41.45,-90.52,
col0,col1,GA MILLEDGEVILLE,col3,KMLJ,33.15,-83.23,
col0,col1,NE OMAHA/MILLARD,col3,KMLE,41.2,-96.12,
col0,col1,CO TRINIDAD/ANIMAS,col3,KTAD,37.27,-104.33,
col0,col1,FL MELBOURNE,col3,KMLB,28.1,-80.65,
col0,col1,OK MCALESTER,col3,KMLC,34.88,-95.78,
col0,col1,TX GATESVILLE,col3,KGOP,31.42,-97.8,
col0,col1,MI GRAYLING AF,col3,KGOV,44.68,-84.73,
col0,col1,IA IOWA CITY,col3,KIOW,41.63,-91.55,
col0,col1,OK GUTHRIE,col3,KGOK,35.85,-97.4,
