station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KQFV,2015-05-22T14:00:00Z,14.0,6.0,160,1,,6.21,29.929134,,,,CLR,,,,,,,,METAR, A02 TSNO
KQFX,2015-05-22T14:00:00Z,15.0,6.0,130,1,,6.21,29.940945,,,,BKN,7000,,,,,,,METAR, A02 TSNO
KNEL,2015-05-22T14:00:00Z,16.7,7.8,,,,10.0,29.970472,,,,CLR,,,,,,,,SPECI, AO2 SLP148 T01670078 PWINO
KAIA,2015-05-22T14:00:00Z,9.4,6.1,140,14,,10.0,30.100393,,TRUE,,SCT,2600,BKN,3500,OVC,6000,,,METAR, AO2 T00940061 $
KACV,2015-05-22T14:00:00Z,11.1,11.1,330,5,,6.0,30.029528,,,BR,SCT,1000,OVC,2800,,,,,METAR, AO2 T01110111
KCXO,2015-05-22T14:00:00Z,17.2,15.6,90,8,,9.0,30.15059,,,,OVC,400,,,,,,,METAR, AO2 T01720156
KMWL,2015-05-22T14:00:00Z,15.6,15.0,120,8,,4.0,30.129921,,,BR,OVC,500,,,,,,,METAR, AO2 T01560150
KLMT,2015-05-22T14:00:00Z,10.6,8.3,0,0,,10.0,29.97933,,,-RA,BKN,1700,OVC,3200,,,,,METAR, AO2 P0000 T01060083
KLAW,2015-05-22T14:00:00Z,13.9,12.8,90,8,,3.0,30.159449,,,RA BR,FEW,700,BKN,1700,OVC,2300,,,METAR, AO2 P0002 T01390128 TSNO
KQEN,2015-05-22T14:00:00Z,-3.0,-5.0,,,,6.21,,,,,CLR,,,,,,,,METAR, A02 TSNO
K2G4,2015-05-22T14:00:00Z,7.0,7.0,260,11,20,10.0,30.15059,,,,CLR,,,,,,,,METAR, AO1
KFME,2015-05-22T14:00:00Z,16.0,8.0,270,10,14,10.0,30.100393,,,,CLR,,,,,,,,METAR, AO1
KDMW,2015-05-22T14:00:00Z,16.0,5.0,300,7,,10.0,30.070866,,,,CLR,,,,,,,,METAR, AO2
KCGS,2015-05-22T14:00:00Z,17.0,7.0,320,5,,10.0,30.079725,,,,CLR,,,,,,,,METAR, AO1
KCGE,2015-05-22T14:00:00Z,17.0,7.0,300,8,,10.0,30.079725,,,,CLR,,,,,,,,METAR, AO1
KSLH,2015-05-22T13:59:00Z,7.2,-2.2,10,8,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 T00721022
KSCH,2015-05-22T13:59:00Z,16.0,4.0,300,14,20,10.0,29.878937,,,,CLR,,,,,,,,METAR
KHLR,2015-05-22T13:59:00Z,17.0,17.0,80,9,,3.0,30.121063,,,-RA BR,OVC,300,,,,,,,METAR, AO2 RAB59
KSHN,2015-05-22T13:59:00Z,10.6,8.9,230,8,,10.0,29.940945,,,VCTS -RA,OVC,600,,,,,,,SPECI, AO2 TSE55 CIG 004V009 P0001 T01060089
KJQF,2015-05-22T13:59:00Z,17.0,4.0,340,7,,10.0,30.250984,,,,CLR,,,,,,,,METAR
KBAZ,2015-05-22T13:59:00Z,19.4,18.9,80,3,,1.25,30.088583,,,BR,OVC,200,,,,,,,SPECI, AO2 T01940189
KTZR,2015-05-22T13:59:00Z,15.0,8.0,240,5,,10.0,30.180119,,,,SKC,,,,,,,,METAR
KGOV,2015-05-22T13:59:00Z,10.0,-4.0,330,3,,10.0,30.188976,,,,CLR,,,,,,,,SPECI, AO2
KNGU,2015-05-22T13:59:00Z,20.6,6.1,350,12,,10.0,30.129921,,,,CLR,,,,,,,,METAR, AO2 SLP202 T02060061
KBDU,2015-05-22T13:58:00Z,8.0,8.0,60,3,,7.0,30.0,,,-RA,BKN,400,OVC,800,,,,,METAR, AO2 P0003
KJMR,2015-05-22T13:58:00Z,13.0,3.0,0,0,,10.0,30.230314,,,,CLR,,,,,,,,METAR, AO2
KQIR,2015-05-22T13:58:00Z,42.3,0.1,110,10,,6.21,29.648623,,,,CLR,,,,,,,,METAR, AO2A SLP041 T04230001
KQGX,2015-05-22T13:58:00Z,40.6,2.4,310,9,,6.21,29.681103,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP052 T04060024 $
KMMT,2015-05-22T13:58:00Z,18.7,8.8,50,9,,10.0,30.188976,,,,BKN,6000,BKN,25000,,,,,METAR, AO2A SLP224 T01870088
KWRI,2015-05-22T13:58:00Z,16.8,7.4,290,9,,10.0,29.958662,,,,CLR,,,,,,,,METAR, AO2 SLP145 T01680074
KSVN,2015-05-22T13:58:00Z,23.0,15.8,60,7,,10.0,30.100393,,,,FEW,2600,,,,,,,METAR, AO2 SLP196 T02300158
KMUI,2015-05-22T13:58:00Z,16.1,4.8,270,11,17,10.0,30.02067,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP169 T01610048 $
KLRF,2015-05-22T13:58:00Z,14.9,9.5,100,8,,10.0,30.301182,,,,CLR,,,,,,,,SPECI, AO2 SLP263 T01490095
KLFI,2015-05-22T13:58:00Z,17.3,7.4,360,8,18,10.0,30.109253,,TRUE,,CLR,,,,,,,,SPECI, AO2 SLP203 T01730074 $
KIAB,2015-05-22T13:58:00Z,10.8,9.2,90,5,,5.0,30.239174,,,-RA BR,OVC,7000,,,,,,,METAR, AO2 CIG 024 RWY01 SLP242 P0007 T01080092
KFHU,2015-05-22T13:58:00Z,15.8,-6.8,170,8,,7.0,30.029528,,TRUE,,CLR,,,,,,,,METAR, AO2A SLP108 T01581068 $
KBLV,2015-05-22T13:58:00Z,16.6,10.8,240,7,,10.0,30.230314,,,,CLR,,,,,,,,METAR, AO2 SLP240 T01660108
KBKF,2015-05-22T13:58:00Z,8.3,7.4,180,6,,10.0,30.0,,,-RA,BKN,1500,BKN,2200,OVC,2900,,,METAR, AO2A SLP128 P0002 T00830074
KDMA,2015-05-22T13:58:00Z,16.6,-3.0,160,7,,10.0,29.949802,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP107 T01661030 $
KTCM,2015-05-22T13:58:00Z,12.1,11.0,220,6,,10.0,29.958662,,TRUE,,OVC,800,,,,,,,METAR, AO2 UPE33 SLP148 P0000 T01210110 $
KSKA,2015-05-22T13:58:00Z,14.6,10.5,150,3,,10.0,29.870079,,,,FEW,13000,,,,,,,METAR, AO2 SLP105 T01460105
KRIV,2015-05-22T13:58:00Z,11.9,8.5,310,4,,10.0,30.0,,,,OVC,7000,,,,,,,METAR, AO2 SLP154 T01190085
KMUO,2015-05-22T13:58:00Z,11.3,7.1,170,2,,10.0,29.890747,,TRUE,,OVC,10000,,,,,,,METAR, AO2 SLP109 T01130071 $
KLUF,2015-05-22T13:58:00Z,20.9,5.1,220,5,,10.0,29.870079,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP105 T02090051 $
KLSV,2015-05-22T13:58:00Z,17.3,5.4,210,4,,10.0,29.840551,,TRUE,,BKN,13000,,,,,,,METAR, AO2 SLP089 T01730054 $
KINS,2015-05-22T13:58:00Z,15.2,1.8,220,10,,10.0,29.861221,,,,SCT,11000,,,,,,,METAR, AO2 SLP078 T01520018
KHIF,2015-05-22T13:58:00Z,10.3,5.8,110,9,,10.0,29.920275,,,,CLR,,,,,,,,METAR, AO2 SLP101 T01030058
KGRF,2015-05-22T13:58:00Z,12.0,11.2,190,6,,10.0,29.949802,,,,BKN,900,OVC,1400,,,,,METAR, AO2 LTG DSNT W BKN V OVC SLP145 T01200112
KBAB,2015-05-22T13:58:00Z,14.1,10.6,160,6,,10.0,29.958662,,TRUE,,FEW,7500,OVC,10000,,,,,METAR, AO2 SLP148 T01410106 $
KXMR,2015-05-22T13:58:00Z,27.7,22.6,350,9,,10.0,30.070866,,,,CLR,,,,,,,,METAR, AO2 SLP186 T02770226
KVAD,2015-05-22T13:58:00Z,20.6,11.7,10,6,,10.0,30.15059,,TRUE,,CLR,,,,,,,,SPECI, AO2 SLP210 T02060117 $
KGXF,2015-05-22T13:58:00Z,17.9,4.2,240,8,,1.5,29.890747,,,HZ,OVC,17000,,,,,,,METAR, AO2 SLP112 T01790042
KEGI,2015-05-22T13:58:00Z,19.1,11.2,40,7,,2.5,30.171259,,TRUE,HZ,CLR,,,,,,,,METAR, AO2 SLP218 T01910112 $
KEDW,2015-05-22T13:58:00Z,11.7,6.4,220,14,22,30.0,29.911417,,,,FEW,3500,BKN,6000,BKN,12000,,,METAR, AO2A SLP120 T01170064
KCVS,2015-05-22T13:58:00Z,10.2,10.2,0,2,,3.0,30.138779,,TRUE,BR,OVC,500,,,,,,,METAR, AO2 SLP189 T01020102 $
KQSA,2015-05-22T13:58:00Z,25.1,2.7,350,16,19,6.21,29.878937,,TRUE,VCTS,BKN,7000,BKN,14000,BKN,20000,,,METAR, AO2A LTG DSNT SW SLP028 T02510027 VISNO RWY21 CHINO RWY21 $
KFRI,2015-05-22T13:58:00Z,11.0,10.8,50,2,,10.0,30.259842,,,,CLR,,,,,,,,METAR, AO2 SLP245 T01100108
KFBG,2015-05-22T13:58:00Z,18.0,7.5,30,8,,10.0,30.171259,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP218 T01800075 $
KSGJ,2015-05-22T13:58:00Z,25.6,18.3,20,11,,10.0,30.109253,,,,CLR,,,,,,,,SPECI, AO2 SLP196 T02560183
KMRH,2015-05-22T13:58:00Z,18.3,11.1,10,13,19,10.0,30.138779,,,,FEW,2400,FEW,6500,SCT,8000,,,SPECI, AO2 SLP208 T01830111 TSNO
KMEI,2015-05-22T13:58:00Z,15.6,8.9,40,10,,10.0,30.259842,,,,CLR,,,,,,,,SPECI, AO2 SLP245 T01560089
KMCK,2015-05-22T13:58:00Z,8.9,8.3,130,7,,2.5,30.159449,,,RA BR,BKN,800,BKN,1900,OVC,4700,,,SPECI, AO2 P0001 T00890083
KTTS,2015-05-22T13:58:00Z,27.1,21.9,20,6,,10.0,30.079725,,,,CLR,,,,,,,,SPECI, AO2 SLP190 T02710219
KTBN,2015-05-22T13:58:00Z,14.8,10.2,0,4,,10.0,30.259842,,,,CLR,,,,,,,,SPECI, AO2 SLP249 T01480102
KPSM,2015-05-22T13:58:00Z,19.5,2.2,250,9,,10.0,29.778543,,,,FEW,12000,,,,,,,SPECI, AO2A SLP086 T01950022
KPOB,2015-05-22T13:58:00Z,18.2,7.9,50,12,19,10.0,30.180119,,,,CLR,,,,,,,,METAR, AO2 SLP222 T01820079
KMGE,2015-05-22T13:58:00Z,16.5,9.0,20,5,,10.0,30.221457,,TRUE,,SCT,25000,,,,,,,METAR, AO2A SLP230 T01650090 $
KFCS,2015-05-22T13:58:00Z,7.0,,110,3,,10.0,30.008858,,TRUE,,BKN,400,OVC,800,,,,,METAR, AO2A RAE06DZB06E09 CIG 003V005 SLP164 P0000 $
KCBM,2015-05-22T13:58:00Z,15.4,9.3,70,7,,10.0,30.280512,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP256 T01540093 $
KBIX,2015-05-22T13:58:00Z,17.5,13.5,40,10,,10.0,30.180119,,,,BKN,5500,OVC,8500,,,,,METAR, AO2 SLP223 T01750135
KMXF,2015-05-22T13:58:00Z,16.7,9.5,0,5,,10.0,30.230314,,,,CLR,,,,,,,,SPECI, AO2 SLP239 T01670095
KHUA,2015-05-22T13:58:00Z,14.3,8.9,50,10,17,8.0,30.268702,,,,CLR,,,,,,,,SPECI, AO2 SLP251 T01430089
KHRT,2015-05-22T13:58:00Z,19.7,12.3,20,11,20,10.0,30.159449,,TRUE,,FEW,7000,,,,,,,SPECI, AO2 SLP215 T01970123 $
KGRK,2015-05-22T13:58:00Z,17.2,17.0,110,8,,5.0,30.121063,,,BR,OVC,300,,,,,,,SPECI, AO2 SLP195 T01720170
KGTB,2015-05-22T13:58:00Z,11.2,-1.0,340,9,,10.0,29.958662,,TRUE,,SCT,9000,,,,,,,SPECI, AO2 SLP147 T01121010 $
KCEF,2015-05-22T13:58:00Z,18.3,3.4,290,11,,10.0,29.840551,,,,CLR,,,,,,,,SPECI, AO2 SLP110 T01830034
KVOK,2015-05-22T13:58:00Z,13.0,3.0,140,5,,10.0,30.209646,,,,CLR,,,,,,,,SPECI, AO2A SLP235
KSKF,2015-05-22T13:58:00Z,19.5,19.3,60,7,,4.0,30.088583,,TRUE,BR,OVC,300,,,,,,,SPECI, AO2 SLP185 T01950193 $
KOZR,2015-05-22T13:58:00Z,18.6,10.4,360,6,,10.0,30.188976,,,,FEW,15000,,,,,,,SPECI, AO2 SLP224 T01860104
KHST,2015-05-22T13:58:00Z,29.0,22.0,60,2,,10.0,30.079725,,,,CLR,,,,,,,,SPECI, AO2 SLP189 T02900220
KGUS,2015-05-22T13:58:00Z,15.0,8.7,280,7,,10.0,30.159449,,,,CLR,,,,,,,,SPECI, AO2 SLP216 T01500087
KFFO,2015-05-22T13:58:00Z,14.3,8.2,260,7,,10.0,30.180119,,,,CLR,,,,,,,,METAR, AO2 SLP225 T01430082
KFAF,2015-05-22T13:58:00Z,17.0,8.2,320,8,,9.0,30.109253,,TRUE,,CLR,,,,,,,,SPECI, AO2 SLP199 T01700082 $
KDYS,2015-05-22T13:58:00Z,15.4,14.0,170,6,,10.0,30.109253,,TRUE,,OVC,500,,,,,,,METAR, AO2 SLP177 T01540140 $
KDAA,2015-05-22T13:58:00Z,17.3,6.9,310,11,,10.0,30.109253,,,,CLR,,,,,,,,METAR, AO2 SLP199 T01730069
KSSC,2015-05-22T13:58:00Z,19.0,7.3,50,14,,10.0,30.171259,,TRUE,,BKN,6000,,,,,,,SPECI, AO2 SLP216 T01900073 $
KGSB,2015-05-22T13:58:00Z,17.9,8.7,20,6,14,10.0,30.15059,,TRUE,,FEW,3600,,,,,,,METAR, AO2 SLP213 T01790087 $
KCOF,2015-05-22T13:58:00Z,28.1,23.2,340,7,,10.0,30.079725,,,,CLR,,,,,,,,METAR, AO2 SLP190 T02810232
KBAD,2015-05-22T13:58:00Z,14.1,10.6,120,9,,10.0,30.230314,,,,SCT,1500,,,,,,,METAR, AO2 SLP239 T01410106
KADW,2015-05-22T13:58:00Z,16.3,6.8,280,11,,10.0,30.088583,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP196 T01630068 VISNO RWY01R $
KWRB,2015-05-22T13:58:00Z,18.4,10.5,330,7,,10.0,30.180119,,,,CLR,,,,,,,,SPECI, AO2 SLP221 T01840105
KTIK,2015-05-22T13:58:00Z,12.5,11.8,110,5,,3.0,30.200787,,,RA BR,OVC,1200,,,,,,,SPECI, AO2 SLP232 P0023 T01250118
KPAM,2015-05-22T13:58:00Z,21.5,15.9,20,9,,10.0,30.15059,,TRUE,,CLR,,,,,,,,SPECI, AO2 SLP213 T02150159 $
KOFF,2015-05-22T13:58:00Z,14.4,8.3,200,1,,10.0,30.230314,,TRUE,,CLR,,,,,,,,SPECI, AO2 SLP239 T01440083 $
KMIB,2015-05-22T13:58:00Z,17.7,5.6,180,5,,10.0,30.129921,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP206 T01770056 $
KMCF,2015-05-22T13:58:00Z,29.7,21.7,60,9,,10.0,30.088583,,,,CLR,,,,,,,,SPECI, AO2 SLP192 T02970217
KLSF,2015-05-22T13:58:00Z,16.9,9.3,320,4,,10.0,30.188976,,,,CLR,,,,,,,,METAR, AO2 SLP225 T01690093
KLHW,2015-05-22T13:58:00Z,21.6,12.7,0,0,,10.0,30.109253,,,,CLR,,,,,,,,METAR, AO2 SLP199 T02160127
KHOP,2015-05-22T13:58:00Z,14.3,9.6,0,3,,10.0,30.31004,,,,CLR,,,,,,,,METAR, AO2 SLP265 T01430096
KFTK,2015-05-22T13:58:00Z,15.3,8.4,250,6,,10.0,30.259842,,,,CLR,,,,,,,,METAR, AO2 SLP250 T01530084
KDOV,2015-05-22T13:58:00Z,16.1,9.4,290,8,17,10.0,30.008858,,TRUE,,CLR,,,,,,,,SPECI, AO2 SLP166 T01610094 VISNO RWY19 CHINO RWY19 $
KEUF,2015-05-22T13:58:00Z,17.2,10.0,0,4,,10.0,30.188976,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP221 T01720100 $
K1J0,2015-05-22T13:58:00Z,19.4,12.2,0,5,,10.0,30.188976,,,,CLR,,,,,,,,METAR, AO2 SLP179 T01940122
K0J4,2015-05-22T13:58:00Z,17.2,10.0,20,7,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 SLP227 T01720100
KRDR,2015-05-22T13:58:00Z,16.7,3.0,210,6,,10.0,30.180119,,,,CLR,,,,,,,,METAR, AO2 SLP226 T01670030
KRCA,2015-05-22T13:58:00Z,12.0,8.5,140,8,,10.0,30.100393,,TRUE,,OVC,6000,,,,,,,METAR, AO2 SLP192 T01200085 $
KVBG,2015-05-22T13:58:00Z,12.9,12.8,340,5,,10.0,30.02067,,,,FEW,400,OVC,2800,,,,,METAR, AO2 SLP168 T01290128 TSNO
KSZL,2015-05-22T13:58:00Z,15.6,9.2,0,0,,10.0,30.250984,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP245 T01560092 $
KSUU,2015-05-22T13:58:00Z,12.1,10.1,240,15,,10.0,29.949802,,TRUE,,FEW,11000,,,,,,,METAR, AO2 SLP149 T01210101 $
KSLI,2015-05-22T13:58:00Z,15.1,10.8,250,5,,10.0,30.0,,,,SCT,7500,OVC,10000,,,,,METAR, AO2A SLP162 T01510108
KPOE,2015-05-22T13:58:00Z,13.9,12.4,50,6,,8.0,30.188976,,,,OVC,700,,,,,,,METAR, AO2 SLP224 T01390124
KBIF,2015-05-22T13:58:00Z,14.9,10.4,40,3,,8.0,30.079725,,TRUE,,OVC,1400,,,,,,,METAR, AO2 SLP141 T01490104 $
K4I3,2015-05-22T13:57:00Z,15.0,7.0,250,5,,10.0,30.138779,,,,CLR,,,,,,,,METAR, AO2
KI69,2015-05-22T13:57:00Z,14.0,7.0,270,7,,10.0,30.230314,,,,CLR,,,,,,,,METAR, AO1
KPOV,2015-05-22T13:57:00Z,12.8,5.4,290,9,,10.0,30.109253,,,,BKN,2100,BKN,7500,,,,,METAR, AO2 T01280054
KFLG,2015-05-22T13:57:00Z,5.0,0.6,0,0,,10.0,30.041338,,,,SCT,1900,BKN,2800,OVC,3300,,,METAR, AO2 SLP111 T00500006
KNSI,2015-05-22T13:57:00Z,,,260,11,,10.0,30.02067,,TRUE,,SCT,6000,,,,,,,METAR, AO2 SLPNO $
KNJM,2015-05-22T13:57:00Z,18.3,11.1,360,7,,10.0,30.15059,,,,SCT,2500,BKN,7500,BKN,15000,,,METAR, SLP214 T01830111
KNYL,2015-05-22T13:57:00Z,18.3,4.4,290,15,20,10.0,29.911417,,,,CLR,,,,,,,,METAR, AO2 SLP127 T01830044
KPCW,2015-05-22T13:57:00Z,15.0,6.0,350,8,,10.0,30.138779,,TRUE,,SCT,6000,,,,,,,SPECI, AO2 $
KROG,2015-05-22T13:57:00Z,13.9,8.9,150,9,,10.0,30.28937,,,,CLR,,,,,,,,METAR, AO2 SLP253 T01390089
KGNR,2015-05-22T13:56:00Z,13.3,5.0,110,5,,,29.719488,,,,,,,,,,,,METAR, AO1 SLP069 T01330050
KNUW,2015-05-22T13:56:00Z,12.2,10.6,220,9,,1.0,29.97933,,TRUE,BR,SCT,700,BKN,1800,OVC,25000,,,METAR, AO2 SFC VIS 3 SLP152 T01220106 $
KNRS,2015-05-22T13:56:00Z,16.1,11.7,280,8,,10.0,30.041338,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP171 T01610117 PNO $
KNQI,2015-05-22T13:56:00Z,26.7,26.1,90,6,,4.0,30.029528,,TRUE,BR,SCT,400,BKN,1500,BKN,16000,OVC,25000,METAR, AO2 SLP164 T2 SET T02670261 $
KNOG,2015-05-22T13:56:00Z,25.6,23.9,70,8,,9.0,30.050198,,TRUE,,BKN,700,OVC,1300,,,,,METAR, AO2 CIG 005V010 SLP154 T02560239 TSNO $
KAQV,2015-05-22T13:56:00Z,14.4,12.2,0,4,,8.0,30.200787,,,,OVC,500,,,,,,,METAR, AO2 SLP226 T01440122
KNGP,2015-05-22T13:56:00Z,26.1,25.0,150,9,,10.0,30.041338,,,,FEW,1300,SCT,1900,BKN,6000,OVC,25000,METAR, AO2 SLP172 CB DSNT NE-E T2 SET T02610250
KNXP,2015-05-22T13:56:00Z,14.4,2.8,260,8,,10.0,29.949802,,,,CLR,,,,,,,,METAR, AO2 SLP113 FIRST T01440028
KSXT,2015-05-22T13:56:00Z,8.3,8.3,0,0,,0.25,29.991142,,,FG,OVX,0,,,,,,,METAR, AO2 SLP144 T00830083
KNFL,2015-05-22T13:56:00Z,11.1,7.2,280,6,,10.0,29.940945,,,,FEW,2000,FEW,4500,BKN,8500,BKN,15000,METAR, AO2 SLP111 T01110072
