station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KCEZ,2015-06-10T17:10:00Z,15.6,13.3,80,6,,10.0,30.088583,,,-RA,SCT,2000,BKN,3100,OVC,4100,,,SPECI, AO2 P0000 T01560133
KQEQ,2015-06-10T17:10:00Z,19.0,16.0,30,1,,2.49,29.58071,,,HZ,CLR,,,,,,,,METAR, A02 TSNO
KQEP,2015-06-10T17:10:00Z,20.0,14.0,120,1,,6.21,29.66929,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEN,2015-06-10T17:10:00Z,-3.0,-5.0,,,,6.21,,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEL,2015-06-10T17:10:00Z,18.0,12.0,80,1,,6.21,29.778543,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEJ,2015-06-10T17:10:00Z,18.0,12.0,50,1,,6.21,29.740158,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEI,2015-06-10T17:10:00Z,18.0,11.0,120,1,,6.21,29.790354,,,,CLR,,,,,,,,METAR, A02 TSNO
KQER,2015-06-10T17:10:00Z,19.0,14.0,180,1,,4.97,,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEW,2015-06-10T17:10:00Z,20.0,13.0,270,1,,6.21,29.731298,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEV,2015-06-10T17:10:00Z,20.0,16.0,120,1,,2.49,29.719488,,,HZ,CLR,,,,,,,,METAR, A02 TSNO
KQFB,2015-06-10T17:10:00Z,19.0,14.0,90,3,,6.21,29.778543,,,,,,,,,,,,METAR, A02 TSNO
KQEY,2015-06-10T17:10:00Z,19.0,11.0,260,2,,6.21,29.740158,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEX,2015-06-10T17:10:00Z,22.0,13.0,60,2,,6.21,29.760826,,,,CLR,,,,,,,,METAR, A02 TSNO
KQFT,2015-06-10T17:10:00Z,20.0,14.0,0,0,,6.21,29.698818,,,,CLR,,,,,,,,METAR, A02 TSNO
KQFU,2015-06-10T17:10:00Z,20.0,14.0,230,1,,5.59,29.731298,,,HZ,CLR,,,,,,,,METAR, A02 TSNO
KQFX,2015-06-10T17:10:00Z,19.0,15.0,190,1,,2.98,29.731298,,,HZ,CLR,,,,,,,,METAR, A02 TSNO
KQFV,2015-06-10T17:10:00Z,16.0,12.0,160,2,,6.21,29.760826,,,,CLR,,,,,,,,METAR, A02 TSNO
KDMW,2015-06-10T17:10:00Z,27.0,16.0,250,8,,10.0,29.929134,,,,SCT,4200,,,,,,,SPECI, AO2
K05U,2015-06-10T17:10:00Z,23.0,7.0,30,5,,10.0,30.02067,,,,CLR,,,,,,,,METAR, AO1
KFVE,2015-06-10T17:09:00Z,17.2,15.0,270,14,20,10.0,29.660433,,,,FEW,800,BKN,1500,OVC,4200,,,SPECI, AO2 T01720150
KQRH,2015-06-10T17:09:00Z,35.0,23.0,0,0,,4.97,29.601377,,TRUE,,SCT,300,BKN,500,,,,,SPECI, AO2 CIG 003V005 $
KFME,2015-06-10T17:09:00Z,26.0,15.0,250,6,,10.0,29.949802,,,,SCT,5000,SCT,6500,,,,,SPECI, AO1
KDRO,2015-06-10T17:09:00Z,13.3,13.3,240,8,,2.0,30.100393,,TRUE,VCTS RA BR,SCT,1500,BKN,3700,OVC,6500,,,SPECI, AO2 WSHFT 1652 LTG DSNT E-S TSE1656 P0008 T01330133 $
KCBE,2015-06-10T17:09:00Z,27.0,15.0,160,8,,10.0,29.940945,,,,CLR,,,,,,,,SPECI, AO1
KBKV,2015-06-10T17:08:00Z,22.2,20.6,110,5,,10.0,29.991142,,,VCTS,FEW,5000,,,,,,,SPECI, AO2 LTG DSNT ALQDS RAE02 TSE02 P0000 T02220206
KVRB,2015-06-10T17:08:00Z,29.4,21.7,130,14,19,10.0,29.970472,,,,SCT,2400,BKN,3800,BKN,5500,,,SPECI, AO2 LTG DSNT N AND NW T02940217
KEHA,2015-06-10T17:08:00Z,31.7,15.1,190,10,,,,,,,,,,,,,,,METAR, AO1 PK WND 19 000 T03170151
KW29,2015-06-10T17:08:00Z,,,190,5,,10.0,29.940945,,,,,,,,,,,,SPECI, AO1
K2W6,2015-06-10T17:08:00Z,26.0,16.0,150,4,,10.0,29.958662,,,,SCT,4500,SCT,5000,,,,,SPECI, AO1
KNKT,2015-06-10T17:08:00Z,29.4,21.7,250,5,,10.0,29.958662,,,,BKN,2700,,,,,,,METAR, AO2 T02940217
KCGE,2015-06-10T17:07:00Z,27.0,13.0,180,7,,10.0,29.929134,,,,CLR,,,,,,,,SPECI, AO1
KGNV,2015-06-10T17:07:00Z,21.7,20.0,220,5,,2.0,29.991142,,,+TSRA BR,SCT,2900,OVC,3900,,,,,METAR, AO2 LTG DSNT ALQDS P0026 T02170200
KTTS,2015-06-10T17:06:00Z,28.0,21.0,130,3,,10.0,29.958662,,TRUE,,SCT,2700,BKN,4900,BKN,8000,BKN,22000,SPECI, AO2 RAE04DZB04E06 $
KPBI,2015-06-10T17:06:00Z,30.0,23.3,130,17,,10.0,29.991142,,,,SCT,3400,BKN,4400,BKN,6500,,,METAR, AO2 TSE05 CB N-E W-NW MOV NE CB DSNT NE-SE SW T03000233
KLEE,2015-06-10T17:06:00Z,26.1,21.1,260,6,,10.0,29.970472,,,VCTS -RA,FEW,5500,BKN,8000,OVC,9500,,,METAR, AO2 LTG DSNT ALQDS RAB00 P0000 T02610211
KCEC,2015-06-10T17:06:00Z,11.1,11.1,300,6,,1.5,29.958662,,,BR,OVC,200,,,,,,,METAR, AO2 T01110111
KNBT,2015-06-10T17:05:00Z,,,190,3,,10.0,29.949802,,TRUE,,BKN,2800,,,,,,,METAR, AO2 PNO $
KCGS,2015-06-10T17:05:00Z,27.0,13.0,210,3,,10.0,29.920275,,,,BKN,5000,,,,,,,SPECI, AO1
KLFT,2015-06-10T17:05:00Z,30.6,23.9,310,4,,10.0,29.899607,,,,SCT,3000,SCT,4700,BKN,7500,,,METAR, AO2 LTG DSNT SE T03060239
KGIF,2015-06-10T17:05:00Z,30.6,21.7,170,4,,10.0,29.970472,,,VCTS,FEW,3900,,,,,,,METAR, AO2 LTG DSNT ALQDS T03060217
KAVX,2015-06-10T17:05:00Z,16.1,15.6,260,8,,0.25,29.97933,,TRUE,FG,BKN,200,OVC,5500,,,,,METAR, AO2 T01610156 $
KCRG,2015-06-10T17:04:00Z,22.8,20.6,350,6,,10.0,29.991142,,TRUE,VCTS +RA,FEW,3500,BKN,10000,BKN,12000,,,METAR, AO2 LTG DSNT N-E TSE1658 P0000 T02280206 $
KCAR,2015-06-10T17:04:00Z,20.0,17.2,260,6,,10.0,29.648623,,,,FEW,1000,SCT,1800,BKN,3000,,,METAR, AO2 RAE03 P0000 T02000172
KBAN,2015-06-10T17:04:00Z,11.7,9.4,0,0,,4.0,30.100393,,,-RA BR,BKN,4900,OVC,6000,,,,,METAR, AO2 P0003 T01170094
KVLD,2015-06-10T17:03:00Z,27.2,22.2,0,3,,10.0,29.970472,,,,BKN,2000,,,,,,,METAR, AO2 T02720222
KMOB,2015-06-10T17:03:00Z,30.0,20.6,0,0,,10.0,29.940945,,,,BKN,3500,BKN,12000,BKN,25000,,,METAR, AO2 T03000206
KNXF,2015-06-10T17:03:00Z,18.9,16.7,190,8,,6.0,29.940945,,TRUE,BR,OVC,1600,,,,,,,METAR, AO2 T01890167 $
KDLZ,2015-06-10T17:02:00Z,26.0,14.0,250,7,,10.0,29.878937,,,,OVC,10000,,,,,,,METAR, AO2
KMLU,2015-06-10T17:02:00Z,29.4,23.9,0,3,,10.0,29.899607,,,,SCT,2000,,,,,,,METAR, AO2 T02940239
KMGM,2015-06-10T17:02:00Z,27.0,22.0,90,3,,8.0,29.949802,,,,OVC,1500,,,,,,,METAR, AO2
KTDR,2015-06-10T17:02:00Z,23.0,22.0,210,4,,10.0,29.97933,,TRUE,-RA,BKN,4900,,,,,,,SPECI, AO2 LTG DSNT SW-W TSNO $
KSKF,2015-06-10T17:02:00Z,30.0,22.0,0,6,,8.0,29.899607,,TRUE,-DZ,FEW,3800,,,,,,,SPECI, AO2 DZB02 $
KPHP,2015-06-10T17:01:00Z,15.0,12.8,360,21,29,10.0,29.920275,,,-RA,FEW,5500,OVC,7000,,,,,SPECI, AO2 PK WND 35029/1657 LTG DSNT NW-E TSE00 PRESFR P0000 T01500128
KFAY,2015-06-10T17:01:00Z,26.7,21.1,,,,10.0,29.940945,,,,SCT,1900,,,,,,,METAR, AO2 T02670211
KJMR,2015-06-10T17:00:00Z,21.0,11.0,340,9,14,10.0,29.84941,,,,CLR,,,,,,,,METAR, AO2
KPOV,2015-06-10T17:00:00Z,21.7,,0,0,,10.0,29.84941,,,,OVC,8000,,,,,,,METAR, AO2 T0217
