station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KSIF,2015-05-27T14:15:00Z,23.8,18.6,260,5,,10.0,30.259842,,,,CLR,,,,,,,,METAR, AO2 T02380186
KSEP,2015-05-27T14:15:00Z,22.1,18.6,180,7,,10.0,30.100393,,,,CLR,,,,,,,,METAR, AO2 T02210186
KSCD,2015-05-27T14:15:00Z,23.9,21.2,0,0,,10.0,30.230314,,,,SCT,1900,,,,,,,METAR, AO2 T02390212
KSAR,2015-05-27T14:15:00Z,17.4,16.0,210,4,15,10.0,30.088583,,,-TSRA,SCT,4700,BKN,6000,OVC,11000,,,METAR, AO2 T01740160
KRYW,2015-05-27T14:15:00Z,20.2,19.0,90,5,,10.0,30.100393,,,,OVC,1300,,,,,,,METAR, AO2 LTG DSNT S T02020190
KRSV,2015-05-27T14:15:00Z,23.9,17.0,220,9,,10.0,30.079725,,,,SCT,9500,,,,,,,METAR, AO2 T02390170
KRSN,2015-05-27T14:15:00Z,20.1,20.1,140,5,,10.0,30.138779,,,-RA,SCT,2800,BKN,4400,OVC,12000,,,METAR, AO2 LTG DSNT NE THRU SE P0001 T02010201
KRKR,2015-05-27T14:15:00Z,22.3,18.0,360,4,,10.0,30.088583,,,,CLR,,,,,,,,METAR, AO2 T02230180
KHNZ,2015-05-27T14:15:00Z,25.7,18.6,190,8,,10.0,30.250984,,,,SCT,2100,,,,,,,METAR, AO2 T02570186
KHLX,2015-05-27T14:15:00Z,20.2,16.4,210,4,,10.0,30.301182,,,,SCT,1800,OVC,2800,,,,,METAR, AO2 T02020164
KGYI,2015-05-27T14:15:00Z,22.8,17.5,0,0,,10.0,30.100393,,,,CLR,,,,,,,,METAR, AO2 T02280175
KGWW,2015-05-27T14:15:00Z,26.4,21.0,230,8,,10.0,30.259842,,,,BKN,2100,BKN,3200,OVC,7000,,,METAR, AO2 T02640210
KGMJ,2015-05-27T14:15:00Z,23.0,19.0,80,4,,10.0,30.109253,,,,CLR,,,,,,,,METAR, AO2
KGIC,2015-05-27T14:15:00Z,10.8,7.3,0,0,,10.0,30.070866,,,,OVC,8000,,,,,,,METAR, AO1 T01080073
KGGI,2015-05-27T14:15:00Z,17.1,14.1,290,5,,10.0,30.02067,,,,SCT,1300,,,,,,,METAR, AO2 T01710141
KGEV,2015-05-27T14:15:00Z,20.1,11.7,250,4,,10.0,30.31004,,,,CLR,,,,,,,,METAR, AO2 T02010117
KMCX,2015-05-27T14:15:00Z,21.8,18.2,230,14,20,10.0,30.008858,,,,SCT,2000,SCT,5500,OVC,9000,,,METAR, AO2 T02180182
KLUM,2015-05-27T14:15:00Z,17.5,14.8,220,5,,10.0,29.929134,,,,CLR,,,,,,,,METAR, AO2 T01750148
KLNC,2015-05-27T14:15:00Z,21.3,16.5,170,5,,10.0,30.100393,,,,CLR,,,,,,,,METAR, AO2 T02130165
KLHB,2015-05-27T14:15:00Z,21.0,19.0,120,5,,10.0,30.100393,,,,CLR,,,,,,,,METAR, AO2 T02100190
KL18,2015-05-27T14:15:00Z,15.0,13.0,0,0,,10.0,29.97933,,,,OVC,1900,,,,,,,METAR, AO2
KJWY,2015-05-27T14:15:00Z,21.4,18.1,150,9,,10.0,30.100393,,,,CLR,,,,,,,,METAR, AO2 T02140181
KJWG,2015-05-27T14:15:00Z,20.4,19.8,140,5,,10.0,30.079725,,,,CLR,,,,,,,,METAR, AO2 T02040198
KJSO,2015-05-27T14:15:00Z,19.6,17.6,200,8,,10.0,30.100393,,,,CLR,,,,,,,,METAR, AO2 T01960176
KJKA,2015-05-27T14:15:00Z,27.7,24.4,130,12,,10.0,30.15059,,,,OVC,1200,,,,,,,METAR, AO2 T02770244
KJFZ,2015-05-27T14:15:00Z,19.9,15.5,250,6,15,10.0,30.28937,,,,SCT,2400,BKN,3000,,,,,METAR, AO2 T01990155
KIXA,2015-05-27T14:15:00Z,25.0,20.0,220,10,,10.0,30.250984,,,,OVC,2300,,,,,,,METAR, AO2
KIPJ,2015-05-27T14:15:00Z,21.7,18.0,210,4,,10.0,30.268702,,,,BKN,1100,,,,,,,METAR, AO2 T02170180
KIIY,2015-05-27T14:15:00Z,24.0,23.0,0,0,,10.0,30.268702,,,,OVC,1300,,,,,,,METAR, AO2
KIGQ,2015-05-27T14:15:00Z,21.7,15.1,230,14,22,10.0,29.958662,,,,BKN,2500,SCT,3000,BKN,5000,,,METAR, AO2 T02170151
KIFA,2015-05-27T14:15:00Z,18.7,14.5,270,7,,10.0,30.008858,,,,CLR,,,,,,,,METAR, AO2 T01870145
KICL,2015-05-27T14:15:00Z,19.0,14.0,0,0,,10.0,30.070866,,,,CLR,,,,,,,,METAR, AO2
KI35,2015-05-27T14:15:00Z,21.0,16.0,300,3,,10.0,30.250984,,,,SCT,1900,OVC,2700,,,,,METAR, AO1
KHZL,2015-05-27T14:15:00Z,24.0,18.0,190,9,,10.0,30.209646,,,,BKN,1700,,,,,,,METAR, AO2
KHVE,2015-05-27T14:15:00Z,16.0,7.0,330,4,,10.0,30.129921,,,,CLR,,,,,,,,METAR, AO2
KHSB,2015-05-27T14:15:00Z,20.7,19.1,290,17,25,3.0,30.15059,,,VCTS +RA,SCT,1400,BKN,2100,OVC,3700,,,METAR, AO2 LTG DSNT ALQS P0009 T02070191
KXBP,2015-05-27T14:15:00Z,22.0,17.4,130,4,,10.0,30.100393,,,,CLR,,,,,,,,METAR, AO2 T02200174
KW96,2015-05-27T14:15:00Z,26.2,20.6,240,6,,10.0,30.209646,,,,SCT,2200,SCT,2700,,,,,METAR, AO1 T02620206
KW75,2015-05-27T14:15:00Z,26.2,20.7,220,6,,10.0,30.209646,,,,OVC,7500,,,,,,,METAR, AO1 T02620207
KW63,2015-05-27T14:15:00Z,26.0,20.0,200,8,,10.0,30.230314,,,,CLR,,,,,,,,METAR, AO1
KW31,2015-05-27T14:15:00Z,25.4,19.5,,,,10.0,30.230314,,,,SCT,2500,,,,,,,METAR, AO1 T02540195
KW29,2015-05-27T14:15:00Z,,,160,9,14,10.0,30.180119,,,,,,,,,,,,METAR, AO1
KPKV,2015-05-27T14:15:00Z,27.3,25.0,110,9,,7.0,30.070866,,,,SCT,1300,SCT,2300,BKN,2800,,,METAR, AO2 T02730250
KOWP,2015-05-27T14:15:00Z,24.0,21.0,170,5,,10.0,30.070866,,,,SCT,700,,,,,,,METAR, AO2 T02400210
KORG,2015-05-27T14:15:00Z,19.3,18.3,80,4,,5.0,30.188976,,,RA,SCT,3700,OVC,4400,,,,,METAR, AO2 LTG DSNT N THRU S T01930183
KOKZ,2015-05-27T14:15:00Z,23.9,20.7,250,3,,10.0,30.259842,,,,BKN,1300,OVC,1800,,,,,METAR, AO2 T02390207
KOKV,2015-05-27T14:15:00Z,27.0,17.0,200,6,,10.0,30.159449,,,,SCT,2100,,,,,,,METAR, AO2
KOJA,2015-05-27T14:15:00Z,20.0,17.0,140,5,,10.0,30.079725,,,,CLR,,,,,,,,METAR, AO2
KOCW,2015-05-27T14:15:00Z,25.9,20.9,200,5,,10.0,30.268702,,,,SCT,2000,SCT,2700,,,,,METAR, AO2 T02590209
KOBE,2015-05-27T14:15:00Z,28.0,20.0,70,4,,10.0,30.171259,,,,SCT,3100,,,,,,,METAR, AO2
KMQS,2015-05-27T14:15:00Z,24.0,22.0,240,6,,10.0,30.188976,,,,OVC,1100,,,,,,,METAR, AO2
KMQB,2015-05-27T14:15:00Z,20.2,17.0,250,10,,10.0,30.041338,,,,BKN,1600,OVC,2100,,,,,METAR, AO2 T02020170
KMMH,2015-05-27T14:15:00Z,8.0,4.0,0,0,,10.0,30.171259,,,,CLR,,,,,,,,METAR, AO1
KMKN,2015-05-27T14:15:00Z,23.0,22.6,150,8,,10.0,30.079725,,,,SCT,1500,,,,,,,METAR, AO2 T02300226
KMFV,2015-05-27T14:15:00Z,26.0,22.0,170,9,,10.0,30.221457,,,,OVC,1800,,,,,,,METAR, AO2
KPVJ,2015-05-27T14:15:00Z,19.9,17.4,0,0,,10.0,30.070866,,,,SCT,4400,BKN,6000,BKN,7000,,,METAR, AO2 T01990174
KPUJ,2015-05-27T14:15:00Z,23.0,23.0,0,0,,10.0,30.250984,,,,BKN,400,BKN,900,OVC,1800,,,METAR, AO2
KPSN,2015-05-27T14:15:00Z,20.4,18.0,130,6,,10.0,30.100393,,,,CLR,,,,,,,,METAR, AO2 T02040180
KMHL,2015-05-27T14:15:00Z,22.0,16.0,280,4,,10.0,30.088583,,,,CLR,,,,,,,,METAR, AO2
K1P1,2015-05-27T14:15:00Z,26.1,21.0,0,0,,10.0,30.079725,,,,CLR,,,,,,,,METAR, AO2 T02610210
KSVC,2015-05-27T14:15:00Z,19.0,-5.0,100,4,,10.0,30.171259,,,,,,,,,,,,SPECI, AO2
KSTF,2015-05-27T14:15:00Z,22.0,21.0,140,5,,10.0,30.171259,,,,OVC,300,,,,,,,SPECI, AO2
KRZL,2015-05-27T14:15:00Z,21.0,18.0,210,15,20,10.0,30.0,,,,BKN,7000,BKN,8000,BKN,9000,,,SPECI, AO2
KRNC,2015-05-27T14:15:00Z,24.0,21.0,230,5,,10.0,30.221457,,,,FEW,1700,SCT,2300,BKN,2700,,,METAR,
KPCM,2015-05-27T14:15:00Z,28.0,21.0,140,5,,10.0,30.221457,,,,SCT,2500,SCT,3200,,,,,SPECI, AO2
KO54,2015-05-27T14:15:00Z,9.0,4.0,0,0,,10.0,30.029528,,,,CLR,,,,,,,,SPECI, AO1
KMRC,2015-05-27T14:15:00Z,24.0,21.0,190,4,,10.0,30.180119,,,,BKN,1700,OVC,3600,,,,,METAR,
KMCD,2015-05-27T14:15:00Z,11.1,11.1,240,16,24,0.25,29.731298,,,FG,OVC,300,,,,,,,SPECI, AO2 T01110111
KMAN,2015-05-27T14:15:00Z,14.0,14.0,0,0,,10.0,30.0,,,,CLR,,,,,,,,SPECI, AO1
KLUL,2015-05-27T14:15:00Z,25.3,24.3,160,6,,10.0,30.171259,,,,BKN,1000,BKN,1500,,,,,SPECI, AO2 T02530243
KHAE,2015-05-27T14:15:00Z,21.0,13.0,280,9,,10.0,30.059055,,,,CLR,,,,,,,,SPECI, AO2
KEOE,2015-05-27T14:15:00Z,21.0,21.0,240,3,,10.0,30.301182,,,,SCT,700,BKN,1100,OVC,2000,,,SPECI, AO2
KEDC,2015-05-27T14:15:00Z,20.0,19.0,140,3,,10.0,30.088583,,,,OVC,2000,,,,,,,SPECI, AO2
KDED,2015-05-27T14:15:00Z,27.0,19.0,100,4,,10.0,30.230314,,,,,,,,,,,,SPECI, AO1
KCFJ,2015-05-27T14:15:00Z,22.6,14.7,210,11,18,10.0,30.050198,,,,SCT,11000,,,,,,,SPECI, AO2 T02260147
KBAC,2015-05-27T14:15:00Z,20.0,11.0,340,4,,10.0,29.949802,,,,CLR,,,,,,,,SPECI, AO2
KANK,2015-05-27T14:15:00Z,13.7,2.1,200,11,15,10.0,30.31004,,,,CLR,,,,,,,,SPECI, AO1 T01370021
KAJZ,2015-05-27T14:15:00Z,13.2,7.9,120,4,,10.0,30.171259,,,,CLR,,,,,,,,SPECI, AO2 T01320079
KAIB,2015-05-27T14:15:00Z,11.0,6.0,340,3,,10.0,30.221457,,,,CLR,,,,,,,,SPECI, AO2
K46D,2015-05-27T14:15:00Z,19.0,11.0,330,5,,10.0,29.970472,,,,CLR,,,,,,,,SPECI, AO2
K1R7,2015-05-27T14:15:00Z,24.0,24.0,160,4,,,30.171259,,,,OVC,600,,,,,,,SPECI, AO2
KJYG,2015-05-27T14:15:00Z,19.0,14.0,250,7,,10.0,29.958662,,,,CLR,,,,,,,,SPECI, AO2
KJCT,2015-05-27T14:15:00Z,25.0,21.1,140,7,,7.0,30.059055,,,,SCT,1700,SCT,2300,BKN,3800,,,SPECI, AO2 T02500211
KISQ,2015-05-27T14:15:00Z,10.2,9.5,270,4,,10.0,29.760826,,,-DZ,OVC,400,,,,,,,SPECI, AO2 T01020095
KIRS,2015-05-27T14:15:00Z,22.0,17.0,230,15,20,10.0,29.970472,,,,SCT,2400,SCT,8000,,,,,SPECI, AO2
KHYX,2015-05-27T14:15:00Z,22.0,17.0,220,18,21,10.0,29.890747,,,,BKN,2700,BKN,3400,OVC,4000,,,SPECI, AO2
KHAI,2015-05-27T14:15:00Z,22.5,16.7,230,8,14,10.0,29.970472,,,,CLR,,,,,,,,SPECI, AO2 T02250167
KFPK,2015-05-27T14:15:00Z,21.6,15.9,220,15,20,10.0,29.929134,,,,SCT,2300,SCT,3000,SCT,3500,,,SPECI, AO2 T02160159
