Station_Office_Code,Station_Code,Potential_ICAO,Station_Name,Report_Header,Dummy to deal with carriage returns
PAFG,OTZ,POTZ,Kotzebue,WEATHER ITEM   OBSERVED TIME    RECORD YEAR NORMAL DEPARTURE LAST,crap
PAFG,FAI,PFAI,Faribanks,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PAH,CGI,KCGI,Cape Girardeau,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PAH,EVV,KEVV,Evansville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PAH,PAH,KPAH,Paducah,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PAJK,JNU,KJNU,Juneau,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PBZ,DUJ,KDUJ,Dubois,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PBZ,HLG,KHLG,Wheeling,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PBZ,MGW,KMGW,Morgantown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PBZ,PHD,KPHD,New Philadelphia,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PBZ,PIT,KPIT,Pittsburgh,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PBZ,ZZV,KZZV,Zanesville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PDT,PDT,KPDT,Pendleton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PDT,PSC,KPSC,Pasco,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PDT,RDM,KRDM,Redmond,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PDT,YKM,KYKM,Yakima,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PHI,ABE,KABE,Allentown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PHI,ACY,KACY,Atlantic City,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PHI,GED,KGED,Georgetown,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PHI,ILG,KILG,Wilmington,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PHI,MPO,KMPO,Mount Pocono,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PHI,PHL,KPHL,Philadelphia,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PHI,RDG,KRDG,Reading,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PHI,TTN,KTTN,Trenton,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PIH,BYI,KBYI,Burley,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PIH,IDA,KIDA,Idaho Falls,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PIH,LLJ,KLLJ,Challis,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PIH,PIH,KPIH,Pocatello,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PIH,RXE,KRXE,Rexburg,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PIH,SNT,KSNT,Stanley,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PQR,TTD,KTTD,Troutdale,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
PQR,AST,KAST,Astoria,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PQR,EUG,KEUG,Eugene,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PQR,HIO,KHIO,Hillsboro,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PQR,MMV,KMMV,McMinnville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PQR,PDX,KPDX,Portland,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PQR,SLE,KSLE,Salem,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PQR,VUO,KVUO,Vancouver,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PSR,NYL,KNYL,Yuma,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PSR,PHX,KPHX,Phoenix,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PUB,LAA,KLAA,Lamar,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
PUB,LHX,KLHX,La Junta,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
PUB,LXV,KLXV,Leadville,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
PUB,SPD,KSPD,Springfield,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
PUB,TAD,KTAD,Trinidad,WEATHER ITEM   OBSERVED TIME   NORMAL DEPARTURE LAST,crap
PUB,ALS,KALS,Alamosa,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PUB,COS,KCOS,Colorado Springs,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
PUB,PUB,KPUB,Pueblo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RAH,FAY,KFAY,Fayetteville,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RAH,GSO,KGSO,Piedmont Triad,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RAH,RDU,KRDU,Raleigh-Durham,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
REV,RNO,KRNO,Reno,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
REV,TVL,KTVL,South Lake Tahoe,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RIW,BPI,KBPI,Big Piney,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RIW,BYG,KBYG,Buffalo,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RIW,CPR,KCPR,Casper,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RIW,GEY,KGEY,Greybull,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
RIW,LND,KLND,Lander,WEATHER ITEM   OBSERVED TIME   RECORD YEAR NORMAL DEPARTURE LAST,crap
