col0,col1,MN ST MARY HOSPITAL,col3,K9MN,44.02,-92.48,False,KRST,8.351,
col0,col1,KS DODGE CITY,col3,KDDC,37.77,-99.97,False,KGCK,42.213,
col0,col1,FL JACKSONVIL/CECIL,col3,KVQQ,30.22,-81.88,False,KJAX,22.725,
col0,col1,LA VERMILION 331,col3,KVQT,28.27,-92.27,False,KARA,123.86,
col0,col1,VT BENNINGTON,col3,KDDH,42.9,-73.25,True,KDDH,0.0,
col0,col1,IA OTTUMWA,col3,KOTM,41.1,-92.45,True,KOTM,0.0,
col0,col1,OR NORTH BEND,col3,KOTH,43.42,-124.25,True,KOTH,0.0,
col0,col1,MN WORTHINGTON,col3,KOTG,43.63,-95.57,False,KEST,44.053,
col0,col1,AZ BUCKEYE,col3,KBXK,33.42,-112.68,False,KPHX,38.066,
col0,col1,IL LITCHFIELD MUNI,col3,K3LF,39.17,-89.67,False,KSPI,46.986,
col0,col1,MD PATUXENT RIVER,col3,KNHK,38.27,-76.4,False,KSBY,48.976,
col0,col1,ND CROSBY,col3,KD50,48.93,-103.3,False,KISN,54.637,
col0,col1,MI CHARLOTTE,col3,KFPK,42.57,-84.82,False,KLAN,18.952,
col0,col1,No station name provided by NCAR/nsdc,col3,KW96,37.5,-77.12,False,KRIC,11.048,
col0,col1,OK ARDMORE,col3,KADM,34.28,-97.02,False,KOKC,82.815,
col0,col1,AZ PAYSON,col3,KPAN,34.25,-111.33,False,KFLG,63.796,
col0,col1,MT SIDNEY RICHLAND,col3,KSDY,47.7,-104.2,False,KISN,41.842,
col0,col1,WV PETERSBURG,col3,KW99,39.0,-79.15,False,KEKN,38.521,
col0,col1,AR ARKADELPHIA,col3,KADF,34.1,-93.07,False,KELD,62.479,
col0,col1,ID CHALLIS,col3,KLLJ,44.52,-114.22,True,KLLJ,0.0,
col0,col1,CA SANDBERG,col3,KSDB,34.75,-118.72,True,KSDB,0.0,
col0,col1,IA SHENANDOAH MUNI,col3,KSDA,40.75,-95.42,False,KOMA,46.657,
col0,col1,KY LOUISVILLE,col3,KSDF,38.18,-85.73,True,KSDF,0.0,
col0,col1,FL FORT PIERCE,col3,KFPR,27.5,-80.38,False,KVRB,10.65,
col0,col1,ND LANGDON/ROBERTSN,col3,KD55,48.75,-98.4,False,KGFK,78.697,
col0,col1,IA AUDUBON,col3,KADU,41.7,-94.92,False,KOMA,57.099,
col0,col1,AZ SCOTTSDALE,col3,KSDL,33.62,-111.92,False,KPHX,14.336,
col0,col1,CA SAN DIEGO/BROWN,col3,KSDM,32.58,-117.0,False,KSAN,14.733,
col0,col1,TX MARFA,col3,KMRF,30.37,-104.02,False,KMAF,153.281,
col0,col1,WV MARTINSBURG,col3,KMRB,39.4,-77.98,True,KMRB,0.0,
col0,col1,TN COLUMBIA,col3,KMRC,35.55,-87.18,False,KBNA,48.326,
col0,col1,NC MORGANTON/LENOIR,col3,KMRN,35.82,-81.62,False,KCLT,56.02,
col0,col1,WI MINERAL POINT,col3,KMRJ,42.88,-90.23,False,KDBQ,40.872,
col0,col1,NC BEAUFORT,col3,KMRH,34.73,-76.65,False,KEWN,32.644,
col0,col1,OH MARYSVILLE,col3,KMRT,40.22,-83.35,False,KCMH,29.119,
col0,col1,AZ COOLIDGE MUNI,col3,KP08,32.93,-111.43,False,KPHX,48.554,
col0,col1,CA MONTEREY,col3,KMRY,36.58,-121.85,True,KMRY,0.0,
col0,col1,TN SPARTA,col3,KSRB,36.05,-85.53,False,KCSV,26.086,
col0,col1,AR SEARCY,col3,KSRC,35.22,-91.73,False,KLIT,44.131,
col0,col1,FL SARASOTA/BRADENT,col3,KSRQ,27.4,-82.57,False,KAPF,99.47,
col0,col1,NM SIERRA B/RUIDOSO,col3,KSRR,33.47,-105.52,False,KROW,60.007,
col0,col1,AR JONESBORO,col3,KJBR,35.83,-90.65,True,KJBR,0.0,
col0,col1,CA VICTORVILLE,col3,KVCV,34.58,-117.38,False,KONT,38.357,
col0,col1,TX VICTORIA,col3,KVCT,28.87,-96.93,True,KVCT,0.0,
col0,col1,MI HOWELL,col3,KOZW,42.62,-83.97,False,KFNT,26.631,
col0,col1,MN BEMIDJI,col3,KBJI,47.5,-94.92,False,KFAR,97.476,
col0,col1,AL OZARK/CAIRNS AAF,col3,KOZR,31.28,-85.72,False,KDHN,16.178,
col0,col1,OH WOOSTER,col3,KBJJ,40.87,-81.88,False,KCAK,22.722,
col0,col1,No station name provided by NCAR/nsdc,col3,K24J,30.3,-83.03,False,KVLD,36.109,
col0,col1,LA GALLIANO,col3,KGAO,29.45,-90.27,False,KNEW,43.885,
col0,col1,CO BROOMFIELD/JEFFC,col3,KBJC,39.9,-105.1,False,KDEN,24.11,
col0,col1,CA VACAVILLE,col3,KVCB,38.38,-121.95,False,KAPC,21.793,
col0,col1,TX OZONA,col3,KOZA,30.73,-101.2,False,KSJT,60.599,
col0,col1,RI WESTERLY,col3,KWST,41.35,-71.8,False,KPVD,31.933,
col0,col1,TX BRENHAM,col3,K11R,30.22,-96.37,False,KCLL,24.874,
col0,col1,WA QUILLAYUTE,col3,KUIL,47.93,-124.55,True,KUIL,0.0,
col0,col1,KS TOPEKA,col3,KTOP,39.07,-95.63,True,KTOP,0.0,
col0,col1,WY TORRINGTON,col3,KTOR,42.07,-104.15,True,KTOR,0.0,
col0,col1,CA TORRANCE MUNICIP,col3,KTOA,33.78,-118.32,False,KLGB,10.144,
col0,col1,MN DODGE CENTER,col3,KTOB,44.02,-92.82,False,KRST,17.945,
