Albuquerque,New Mexico,ABQ,Albuquerque Intl Apt,ABQ,crap
Albuquerque,New Mexico,ABQ,Clayton,CAO,crap
Albuquerque,New Mexico,ABQ,Roswell,ROW,crap
Aberdeen,South Dakota,ABR,Sisseton Airport,8D3,crap
Aberdeen,South Dakota,ABR,Aberdeen Regional Airport,ABR,crap
Aberdeen,South Dakota,ABR,Watertown Regional Airport,ATY,crap
Aberdeen,South Dakota,ABR,Huron Regional Airport,HON,crap
Aberdeen,South Dakota,ABR,Mobridge Airport,MBG,crap
Aberdeen,South Dakota,ABR,Pierre Regional Airport,PIR,crap
Wakefield,Virginia,AKQ,ELIZABETH CITY,ECG,crap
Wakefield,Virginia,AKQ,NORFOLK,ORF,crap
Wakefield,Virginia,AKQ,RICHMOND,RIC,crap
Wakefield,Virginia,AKQ,SALISBURY,SBY,crap
Wakefield,Virginia,AKQ,WALLOPS ISLAND,WAL,crap
Albany,New York,ALY,Albany NY,ALB,crap
Albany,New York,ALY,Bennington VT,DDH,crap
Albany,New York,ALY,Glens Falls NY,GFL,crap
Albany,New York,ALY,Poughkeepsie NY,POU,crap
Albany,New York,ALY,Pittsfield MA,PSF,crap
Amarillo,Texas,AMA,Amarillo,AMA,crap
Amarillo,Texas,AMA,Borger,BGD,crap
Amarillo,Texas,AMA,Dalhart,DHT,crap
Amarillo,Texas,AMA,Guymon,GUY,crap
Gaylord,Michigan,APX,Sault Ste. Marie,ANJ,crap
Gaylord,Michigan,APX,Alpena,APN,crap
Gaylord,Michigan,APX,Houghton Lake,HTL,crap
Gaylord,Michigan,APX,Traverse City,TVC,crap
Binghamton,New York,BGM,Scranton/Wilkes-Barre,AVP,crap
Binghamton,New York,BGM,Binghamton,BGM,crap
Binghamton,New York,BGM,Syracuse,SYR,crap
Bismarck,North Dakota,BIS,Bismarck,BIS,crap
Bismarck,North Dakota,BIS,Dickinson,DIK,crap
Bismarck,North Dakota,BIS,Williston,ISN,crap
Bismarck,North Dakota,BIS,Jamestown,JMS,crap
Bismarck,North Dakota,BIS,Minot,MOT,crap
Birmingham,Alabama,BMX,Anniston,ANB,crap
Birmingham,Alabama,BMX,Birmingham,BHM,crap
Birmingham,Alabama,BMX,Shelby County Airport,EET,crap
Birmingham,Alabama,BMX,Montgomery,MGM,crap
Birmingham,Alabama,BMX,Tuscaloosa,TCL,crap
Birmingham,Alabama,BMX,Troy,TOI,crap
Boise,Idaho,BOI,Baker City,BKE,crap
Boise,Idaho,BOI,Burns,BNO,crap
Boise,Idaho,BOI,Boise,BOI,crap
Boise,Idaho,BOI,Jerome,JER,crap
Boise,Idaho,BOI,Mountain Home,MUO,crap
Boise,Idaho,BOI,McCall,MYL,crap
Boise,Idaho,BOI,Ontario,ONO,crap
Boise,Idaho,BOI,Rome,REO,crap
Boise,Idaho,BOI,Twin Falls,TWF,crap
Denver/Boulder,Colorado,BOU,Akron,AKO,crap
Denver/Boulder,Colorado,BOU,Centennial,APA,crap
Denver/Boulder,Colorado,BOU,Denver,DEN,crap
Denver/Boulder,Colorado,BOU,Limon,LIC,crap
Boston,Massachusetts,BOX,Hartford (Bradley Airport),BDL,crap
Boston,Massachusetts,BOX,Boston (Logan Airport),BOS,crap
Boston,Massachusetts,BOX,Worcester,ORH,crap
Boston,Massachusetts,BOX,Providence( T.F. Green Airport),PVD,crap
Brownsville,Texas,BRO,Brownsville Intl Airport,BRO,crap
Brownsville,Texas,BRO,Harlingen Intl Airport,HRL,crap
Brownsville,Texas,BRO,McAllen Miller Intl Airport,MFE,crap
Burlington,Vermont,BTV,St. Johnsbury,1V4,crap
Burlington,Vermont,BTV,Burlington,BTV,crap
Burlington,Vermont,BTV,Montpelier,MPV,crap
Burlington,Vermont,BTV,Massena,MSS,crap
Burlington,Vermont,BTV,Morrisville,MVL,crap
Burlington,Vermont,BTV,Plattsburgh,PBG,crap
Burlington,Vermont,BTV,Rutland,RUT,crap
Burlington,Vermont,BTV,Saranac Lake,SLK,crap
Burlington,Vermont,BTV,Springfield,VSF,crap
Buffalo,New York,BUF,Watertown,ART,crap
Buffalo,New York,BUF,Buffalo,BUF,crap
Buffalo,New York,BUF,Rochester,ROC,crap
Billings,Montana,BYZ,Billings,BIL,crap
Billings,Montana,BYZ,Livingston,LVM,crap
Billings,Montana,BYZ,Miles City,MLS,crap
Billings,Montana,BYZ,Sheridan,SHR,crap
Columbia,South Carolina,CAE,Augusta Regional Bush Field,AGS,crap
Columbia,South Carolina,CAE,Columbia Metro Airport,CAE,crap
Columbia,South Carolina,CAE,Hamilton-Owens Airport,CUB,crap
Columbia,South Carolina,CAE,Augusta Daniel Field,DNL,crap
Columbia,South Carolina,CAE,Orangeburg Airport,OGB,crap
Caribou,Maine,CAR,Bangor,BGR,crap
Caribou,Maine,CAR,Caribou,CAR,crap
Caribou,Maine,CAR,Frenchville,FVE,crap
Caribou,Maine,CAR,Houlton,HUL,crap
Caribou,Maine,CAR,Millinocket,MLT,crap
Charleston,South Carolina,CHS,Charleston,CHS,crap
Charleston,South Carolina,CHS,Downtown Charleston,CXM,crap
Charleston,South Carolina,CHS,Savannah,SAV,crap
Cleveland,Ohio,CLE,Akron/Canton,CAK,crap
Cleveland,Ohio,CLE,Cleveland,CLE,crap
Cleveland,Ohio,CLE,Erie,ERI,crap
Cleveland,Ohio,CLE,Mansfield,MFD,crap
Cleveland,Ohio,CLE,Toledo,TOL,crap
Cleveland,Ohio,CLE,Youngstown,YNG,crap
Corpus Christi,Texas,CRP,Corpus Christi,CRP,crap
