station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type
KTGI,2015-03-13T08:18:00Z,4.0,-2.0,90,6,,10.0,30.561024,,,,CLR,,,,,,,,METAR
KGWW,2015-03-13T08:18:00Z,6.0,-2.0,50,3,,10.0,30.519686,,,,CLR,,,,,,,,SPECI
KPOE,2015-03-13T08:18:00Z,17.0,16.0,150,10,,10.0,29.929134,,,,BKN,900,BKN,1400,BKN,2000,,,SPECI
KMIB,2015-03-13T08:18:00Z,0.0,0.0,310,8,,1.5,30.109253,,TRUE,BR,OVC,200,,,,,,,SPECI
KLRF,2015-03-13T08:18:00Z,15.0,15.0,60,5,,1.25,30.029528,,,+RA BR,BKN,300,OVC,900,,,,,METAR
KHRT,2015-03-13T08:18:00Z,21.0,16.0,110,11,,9.0,30.109253,,,,BKN,900,,,,,,,METAR
KBLV,2015-03-13T08:18:00Z,9.0,9.0,20,4,,5.0,30.180119,,,RA BR,BKN,2400,OVC,2900,,,,,SPECI
KBAD,2015-03-13T08:18:00Z,14.0,14.0,10,1,,5.0,29.949802,,,BR,OVC,200,,,,,,,SPECI
KPKD,2015-03-13T08:18:00Z,0.6,0.0,280,7,,2.5,29.970472,,,BR,CLR,,,,,,,,SPECI
KHOT,2015-03-13T08:18:00Z,13.3,12.8,0,0,,2.5,30.02067,,,-RA BR,OVC,700,,,,,,,SPECI
KFYV,2015-03-13T08:18:00Z,10.6,10.6,70,4,,5.0,30.079725,,,BR,BKN,1400,OVC,3800,,,,,SPECI
KTBN,2015-03-13T08:18:00Z,11.0,11.0,50,5,,7.0,30.109253,,,-DZ,OVC,1200,,,,,,,SPECI
KSJX,2015-03-13T08:17:00Z,3.3,-8.8,160,3,,10.0,30.268702,,,,BKN,11000,,,,,,,SPECI
KBDU,2015-03-13T08:17:00Z,8.0,1.0,0,0,,10.0,30.351377,,,-RA,SCT,4300,BKN,4900,OVC,5500,,,SPECI
KMNH,2015-03-13T08:17:00Z,1.0,0.0,310,9,,10.0,30.339567,,,,BKN,4700,,,,,,,SPECI
KCOQ,2015-03-13T08:17:00Z,1.0,-2.0,120,3,,10.0,30.0,,,,CLR,,,,,,,,SPECI
KSAW,2015-03-13T08:17:00Z,2.8,-2.1,200,10,15,10.0,30.15059,,,,OVC,9000,,,,,,,SPECI
KMLC,2015-03-13T08:17:00Z,12.8,11.7,30,4,,5.0,30.050198,,,BR,OVC,400,,,,,,,SPECI
KIOW,2015-03-13T08:17:00Z,1.1,1.1,0,0,,0.25,30.221457,,,FG,OVX,0,,,,,,,SPECI
KHKA,2015-03-13T08:17:00Z,16.1,15.6,140,9,,8.0,30.100393,,,-RA,SCT,1400,BKN,6000,OVC,7500,,,SPECI
KVIH,2015-03-13T08:17:00Z,10.6,9.4,70,7,,4.0,30.129921,,,-RA BR,BKN,2600,OVC,3400,,,,,SPECI
KFLY,2015-03-13T08:16:00Z,4.8,-0.5,350,12,20,10.0,30.318897,,,,CLR,,,,,,,,SPECI
KROS,2015-03-13T08:16:00Z,8.1,5.1,160,6,,10.0,30.008858,,,,CLR,,,,,,,,SPECI
KJMR,2015-03-13T08:16:00Z,7.0,5.0,160,3,,10.0,30.008858,,,,CLR,,,,,,,,SPECI
KQBL,2015-03-13T08:16:00Z,21.0,20.0,120,1,,6.0,30.129921,,,BR,BKN,900,BKN,1200,,,,,SPECI
KBJC,2015-03-13T08:16:00Z,8.0,2.0,360,9,15,10.0,30.351377,,,-RA,SCT,2100,BKN,3000,OVC,3800,,,SPECI
KAUM,2015-03-13T08:16:00Z,7.0,5.0,180,11,,5.0,30.121063,,,BR,CLR,,,,,,,,SPECI
K4I3,2015-03-13T08:16:00Z,3.0,-5.0,90,5,,10.0,30.339567,,,,CLR,,,,,,,,SPECI
K4BM,2015-03-13T08:16:00Z,-3.0,-4.0,60,8,,1.5,30.43996,,,BR,OVC,100,,,,,,,SPECI
K04V,2015-03-13T08:16:00Z,4.0,-4.0,360,7,,10.0,30.31004,,,,SCT,7000,OVC,11000,,,,,SPECI
KBVE,2015-03-13T08:16:00Z,18.3,18.3,90,8,16,3.0,30.050198,,,RA BR,SCT,1000,BKN,2900,OVC,4000,,,SPECI
KMQJ,2015-03-13T08:16:00Z,6.0,-6.0,0,0,,10.0,30.268702,,,,CLR,,,,,,,,SPECI
KLYV,2015-03-13T08:16:00Z,6.0,2.0,0,0,,10.0,30.088583,,,,CLR,,,,,,,,SPECI
KXVG,2015-03-13T08:16:00Z,1.0,0.0,0,0,,5.0,29.958662,,,BR,CLR,,,,,,,,SPECI
KCKV,2015-03-13T08:16:00Z,13.9,12.8,150,8,,3.0,30.180119,,,RA BR,FEW,2600,BKN,3600,OVC,7000,,,SPECI
KNOW,2015-03-13T08:16:00Z,8.0,7.0,70,3,,4.0,30.318897,,,BR,CLR,,,,,,,,METAR
KAVC,2015-03-13T08:16:00Z,0.9,-1.7,0,0,,10.0,30.59941,,,,CLR,,,,,,,,SPECI
KPHN,2015-03-13T08:16:00Z,-2.0,-10.0,140,4,,10.0,30.410433,,,,CLR,,,,,,,,SPECI
KPBF,2015-03-13T08:16:00Z,15.0,15.0,80,5,,0.25,30.008858,,,FG,OVX,0,,,,,,,SPECI
KNEW,2015-03-13T08:16:00Z,20.0,17.8,110,11,,7.0,30.029528,,,,BKN,300,BKN,4900,BKN,11000,,,SPECI
KMCD,2015-03-13T08:16:00Z,0.7,-3.6,120,9,,10.0,30.301182,,,,BKN,7500,OVC,9000,,,,,SPECI
KFRR,2015-03-13T08:15:00Z,0.0,-6.0,0,0,,10.0,30.528543,,,,CLR,,,,,,,,SPECI
KFPK,2015-03-13T08:15:00Z,-1.0,-8.2,160,3,,10.0,30.33071,,,,CLR,,,,,,,,SPECI
KFBR,2015-03-13T08:15:00Z,1.2,-1.6,270,6,,10.0,30.431103,,,,CLR,,,,,,,,SPECI
KETH,2015-03-13T08:15:00Z,4.0,2.0,270,5,,10.0,30.059055,,,,CLR,,,,,,,,SPECI
KELK,2015-03-13T08:15:00Z,6.0,1.0,0,0,,10.0,30.138779,,,,CLR,,,,,,,,SPECI
KEIK,2015-03-13T08:15:00Z,8.5,2.6,290,10,,10.0,30.33071,,,-DZ,SCT,4200,BKN,6000,OVC,7000,,,SPECI
KVTP,2015-03-13T08:15:00Z,-2.0,-5.0,40,18,23,10.0,30.351377,,,,BKN,3500,BKN,4100,OVC,4800,,,SPECI
KVTI,2015-03-13T08:15:00Z,6.2,4.5,170,8,,4.0,30.188976,,,BR,CLR,,,,,,,,SPECI
KVLL,2015-03-13T08:15:00Z,-0.9,-10.6,0,0,,10.0,30.398623,,,,CLR,,,,,,,,SPECI
KUKT,2015-03-13T08:15:00Z,-2.0,-15.0,0,0,,10.0,30.590551,,,,CLR,,,,,,,,SPECI
KSEM,2015-03-13T08:15:00Z,20.0,18.0,100,9,,10.0,30.15059,,,,SCT,900,OVC,1900,,,,,SPECI
KSBS,2015-03-13T08:15:00Z,0.1,-1.5,0,0,,10.0,30.360237,,,,BKN,9000,,,,,,,SPECI
KOKZ,2015-03-13T08:15:00Z,14.6,0.7,90,11,19,10.0,30.339567,,,,OVC,2500,,,,,,,SPECI
KGPM,2015-03-13T08:15:00Z,14.6,12.7,350,4,,10.0,30.041338,,,,BKN,1500,OVC,6500,,,,,SPECI
KGCM,2015-03-13T08:15:00Z,12.0,10.0,40,4,,10.0,30.121063,,,,OVC,1700,,,,,,,SPECI
KBVS,2015-03-13T08:15:00Z,12.0,12.0,70,10,,10.0,30.351377,,,,CLR,,,,,,,,SPECI
KYKN,2015-03-13T08:15:00Z,8.0,-2.0,300,7,,10.0,30.109253,,,,CLR,,,,,,,,SPECI
KY63,2015-03-13T08:15:00Z,2.1,1.3,0,0,,10.0,30.02067,,,,CLR,,,,,,,,SPECI
KWWD,2015-03-13T08:15:00Z,1.0,-15.0,40,6,,10.0,30.59941,,,,CLR,,,,,,,,SPECI
KWVL,2015-03-13T08:15:00Z,-9.0,-21.0,310,4,,,30.481298,,,,CLR,,,,,,,,SPECI
KVIS,2015-03-13T08:15:00Z,12.0,7.0,110,4,,5.0,30.180119,,,,CLR,,,,,,,,SPECI
KVBT,2015-03-13T08:15:00Z,11.0,9.0,90,5,,8.0,30.088583,,,,OVC,500,,,,,,,SPECI
KUTA,2015-03-13T08:15:00Z,17.0,17.0,120,10,,7.0,30.059055,,,RA,OVC,1300,,,,,,,SPECI
KUDG,2015-03-13T08:15:00Z,11.0,-3.0,60,7,,10.0,30.490158,,,,FEW,6500,OVC,8500,,,,,SPECI
KUCY,2015-03-13T08:15:00Z,15.0,14.0,130,6,,10.0,30.121063,,,,BKN,2900,BKN,3900,OVC,6000,,,METAR
KTVF,2015-03-13T08:15:00Z,2.0,1.0,260,10,,5.0,29.970472,,,,CLR,,,,,,,,SPECI
KTSP,2015-03-13T08:15:00Z,4.0,3.0,0,0,,6.0,30.250984,,,BR,CLR,,,,,,,,SPECI
KTPL,2015-03-13T08:15:00Z,13.0,10.0,330,8,,8.0,30.0,,,,OVC,900,,,,,,,SPECI
KTHA,2015-03-13T08:15:00Z,13.0,11.0,140,8,,10.0,30.230314,,,,FEW,2000,SCT,2700,BKN,3900,,,METAR
KTEX,2015-03-13T08:15:00Z,0.0,-3.1,140,4,,10.0,30.33071,,,,SCT,6500,,,,,,,SPECI
KSYI,2015-03-13T08:15:00Z,14.0,12.0,140,8,,10.0,30.230314,,,,FEW,5500,BKN,7500,OVC,8500,,,METAR
KSUE,2015-03-13T08:15:00Z,3.0,-3.0,190,14,20,10.0,30.239174,,,,CLR,,,,,,,,SPECI
KSUA,2015-03-13T08:15:00Z,22.0,18.0,100,12,,10.0,30.159449,,,,SCT,2800,,,,,,,SPECI
KSQL,2015-03-13T08:15:00Z,14.0,10.0,0,0,,10.0,30.180119,,,,CLR,,,,,,,,SPECI
KSQI,2015-03-13T08:15:00Z,2.0,1.0,90,3,,7.0,30.239174,,,,CLR,,,,,,,,SPECI
KSOP,2015-03-13T08:15:00Z,9.0,-4.0,0,0,,10.0,30.499016,,,,OVC,9500,,,,,,,SPECI
KSNH,2015-03-13T08:15:00Z,14.0,14.0,160,8,,8.0,30.159449,,,,FEW,300,SCT,1400,BKN,2300,,,METAR
KSMS,2015-03-13T08:15:00Z,13.0,-4.0,90,10,19,10.0,30.46063,,,,OVC,6000,,,,,,,SPECI
KSMN,2015-03-13T08:15:00Z,-1.0,-3.0,0,0,,5.0,30.43996,,,,CLR,,,,,,,,SPECI
KSLG,2015-03-13T08:15:00Z,11.0,8.0,0,0,,7.0,30.088583,,,,BKN,600,OVC,4800,,,,,SPECI
KSKX,2015-03-13T08:15:00Z,7.0,-7.0,60,10,,10.0,30.221457,,,,CLR,,,,,,,,SPECI
KSGU,2015-03-13T08:15:00Z,16.0,1.0,30,20,27,10.0,30.209646,,,,CLR,,,,,,,,SPECI
KSGT,2015-03-13T08:15:00Z,16.0,15.0,100,7,,10.0,30.029528,,,,BKN,900,OVC,4800,,,,,SPECI
