station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type
KGUC,2015-03-13T08:15:00Z,1.0,-3.0,0,0,,10.0,30.351377,,,,CLR,,,,,,,,SPECI
KGTR,2015-03-13T08:15:00Z,18.0,16.0,120,12,,10.0,30.100393,,,,OVC,1100,,,,,,,SPECI
KGPZ,2015-03-13T08:15:00Z,2.0,-1.0,130,3,,10.0,29.970472,,,,CLR,,,,,,,,SPECI
KGLY,2015-03-13T08:15:00Z,11.0,11.0,40,3,,10.0,30.159449,,,,SCT,2200,OVC,4300,,,,,SPECI
KGDV,2015-03-13T08:15:00Z,5.0,-2.0,310,8,,10.0,30.221457,,,,CLR,,,,,,,,SPECI
KGBD,2015-03-13T08:15:00Z,2.0,-3.0,0,0,,10.0,30.15059,,,,CLR,,,,,,,,SPECI
KGAI,2015-03-13T08:15:00Z,1.0,-8.0,100,5,,10.0,30.620079,,,,CLR,,,,,,,,SPECI
KGAD,2015-03-13T08:15:00Z,14.0,12.0,80,8,,9.0,30.239174,,,,OVC,1400,,,,,,,SPECI
KFYM,2015-03-13T08:15:00Z,13.0,11.0,140,11,,10.0,30.209646,,,,FEW,5000,SCT,8000,,,,,METAR
KFRM,2015-03-13T08:15:00Z,8.0,2.0,210,11,18,10.0,30.079725,,,,CLR,,,,,,,,SPECI
KFOD,2015-03-13T08:15:00Z,7.0,2.0,190,9,,10.0,30.15059,,,,CLR,,,,,,,,SPECI
KFNL,2015-03-13T08:15:00Z,9.0,0.0,360,4,,10.0,30.33071,,,,CLR,,,,,,,,SPECI
KFMM,2015-03-13T08:15:00Z,7.3,-2.2,340,12,,10.0,30.280512,,,,CLR,,,,,,,,SPECI
KFMH,2015-03-13T08:15:00Z,-5.0,-16.0,320,5,,10.0,30.590551,,,,CLR,,,,,,,,SPECI
KFLP,2015-03-13T08:15:00Z,12.0,9.0,340,3,,3.0,30.079725,,,,OVC,500,,,,,,,SPECI
KFKL,2015-03-13T08:15:00Z,-1.0,-13.0,110,6,,10.0,30.43996,,,,CLR,,,,,,,,SPECI
KFAM,2015-03-13T08:15:00Z,11.0,9.0,70,4,,5.0,30.180119,,,,OVC,1200,,,,,,,SPECI
KEWK,2015-03-13T08:15:00Z,8.0,-1.0,80,6,,10.0,30.15059,,,,CLR,,,,,,,,SPECI
KEUL,2015-03-13T08:15:00Z,5.0,-1.0,0,0,,10.0,30.380905,,,,CLR,,,,,,,,SPECI
KESC,2015-03-13T08:15:00Z,2.0,-3.0,180,6,,10.0,30.230314,,,,CLR,,,,,,,,SPECI
KENV,2015-03-13T08:15:00Z,9.0,-2.0,240,3,,10.0,30.380905,,,,CLR,,,,,,,,SPECI
KEHR,2015-03-13T08:15:00Z,12.0,3.0,90,5,,10.0,30.171259,,,,FEW,6000,OVC,8500,,,,,SPECI
KEGE,2015-03-13T08:15:00Z,3.0,-1.0,0,0,,10.0,30.369095,,,,OVC,11000,,,,,,,SPECI
KEEN,2015-03-13T08:15:00Z,-9.0,-14.0,0,0,,10.0,30.578741,,,,CLR,,,,,,,,SPECI
KEAR,2015-03-13T08:15:00Z,9.0,-1.0,260,5,,10.0,30.159449,,,,CLR,,,,,,,,SPECI
KE80,2015-03-13T08:15:00Z,7.0,-1.0,0,0,,10.0,30.138779,,,,SCT,11000,,,,,,,SPECI
KDYR,2015-03-13T08:15:00Z,16.0,9.0,130,7,,10.0,30.121063,,,,FEW,1800,SCT,2700,BKN,3300,,,SPECI
KDYB,2015-03-13T08:15:00Z,12.0,2.0,60,7,,10.0,30.410433,,,,OVC,4000,,,,,,,SPECI
KDWU,2015-03-13T08:15:00Z,8.0,1.0,0,0,,10.0,30.301182,,,,CLR,,,,,,,,SPECI
KDVL,2015-03-13T08:15:00Z,0.0,-2.0,300,13,17,0.5,30.059055,,,,OVC,200,,,,,,,SPECI
KDED,2015-03-13T08:15:00Z,,,110,3,,,30.200787,,,,,,,,,,,,SPECI
KD57,2015-03-13T08:15:00Z,0.0,-2.0,280,7,,10.0,30.129921,,,,CLR,,,,,,,,SPECI
KCXP,2015-03-13T08:15:00Z,4.0,-2.0,320,3,,10.0,30.380905,,,,CLR,,,,,,,,SPECI
KCWI,2015-03-13T08:15:00Z,3.0,1.0,110,7,,5.0,30.250984,,,,CLR,,,,,,,,SPECI
KCVO,2015-03-13T08:15:00Z,9.0,7.0,270,6,,10.0,30.239174,,,,CLR,,,,,,,,SPECI
KCVN,2015-03-13T08:15:00Z,4.0,-2.0,10,3,,10.0,30.129921,,,,CLR,,,,,,,,SPECI
KCQW,2015-03-13T08:15:00Z,10.0,-6.0,90,11,,10.0,30.481298,,,,BKN,7500,OVC,8500,,,,,SPECI
KSIK,2015-03-13T08:15:00Z,13.0,11.0,70,6,,10.0,30.121063,,,,BKN,2100,BKN,4500,OVC,6000,,,METAR
KLDM,2015-03-13T08:15:00Z,2.0,-8.6,160,5,,10.0,30.31004,,,,CLR,,,,,,,,SPECI
KJYG,2015-03-13T08:15:00Z,10.0,3.0,190,13,,10.0,30.059055,,,,CLR,,,,,,,,SPECI
KIRS,2015-03-13T08:15:00Z,1.0,-6.0,110,3,,10.0,30.31004,,,,CLR,,,,,,,,SPECI
KIPJ,2015-03-13T08:15:00Z,12.1,-2.0,0,0,,10.0,30.469488,,,,OVC,7500,,,,,,,SPECI
KIFA,2015-03-13T08:15:00Z,6.0,4.4,160,9,,5.0,30.171259,,,BR,CLR,,,,,,,,SPECI
KHYX,2015-03-13T08:15:00Z,0.0,-7.0,110,3,,10.0,30.369095,,,,CLR,,,,,,,,SPECI
KHAF,2015-03-13T08:15:00Z,10.0,9.0,60,4,,9.0,30.180119,,,,OVC,500,,,,,,,SPECI
KGOV,2015-03-13T08:15:00Z,0.5,-11.9,170,3,,10.0,30.31004,,,,CLR,,,,,,,,SPECI
KFSE,2015-03-13T08:15:00Z,1.0,0.0,220,5,,7.0,29.97933,,,,CLR,,,,,,,,SPECI
KVER,2015-03-13T08:15:00Z,11.2,11.2,140,7,,3.0,30.159449,,,RA,SCT,8000,OVC,9000,,,,,METAR
KY19,2015-03-13T08:15:00Z,3.0,0.0,300,8,,10.0,30.121063,,,,CLR,,,,,,,,METAR
KWDG,2015-03-13T08:15:00Z,6.0,3.0,360,6,,10.0,30.088583,,,,CLR,,,,,,,,METAR
KVNC,2015-03-13T08:15:00Z,20.0,20.0,70,6,,9.0,30.15059,,,,FEW,8500,,,,,,,METAR
KLWA,2015-03-13T08:15:00Z,2.9,-5.0,130,6,,10.0,30.301182,,,,CLR,,,,,,,,SPECI
KBXA,2015-03-13T08:15:00Z,20.3,18.2,140,5,,10.0,30.059055,,,-RA,,,,,,,,,SPECI
KBDH,2015-03-13T08:15:00Z,6.0,4.0,240,4,,7.0,30.02067,,,,CLR,,,,,,,,SPECI
KBCK,2015-03-13T08:15:00Z,7.2,4.1,190,4,,5.0,30.159449,,,HZ,CLR,,,,,,,,SPECI
KBCB,2015-03-13T08:15:00Z,6.7,-2.7,110,3,,10.0,30.528543,,,,SCT,6500,SCT,12000,,,,,SPECI
KAMN,2015-03-13T08:15:00Z,-1.8,-6.3,120,3,,10.0,30.351377,,,,CLR,,,,,,,,SPECI
KADC,2015-03-13T08:15:00Z,4.0,4.0,270,5,,7.0,29.991142,,,,CLR,,,,,,,,SPECI
KACB,2015-03-13T08:15:00Z,2.8,-9.3,180,5,,10.0,30.301182,,,,CLR,,,,,,,,SPECI
K6A2,2015-03-13T08:15:00Z,15.0,11.0,110,5,,10.0,30.318897,,,,OVC,2700,,,,,,,SPECI
K5SM,2015-03-13T08:15:00Z,-1.0,-2.0,50,5,,10.0,30.41929,,,,BKN,200,OVC,600,,,,,SPECI
K3D2,2015-03-13T08:15:00Z,2.6,-3.0,190,9,17,10.0,30.221457,,,,CLR,,,,,,,,METAR
K33V,2015-03-13T08:15:00Z,0.0,-1.0,0,0,,10.0,30.389763,,,,OVC,5000,,,,,,,SPECI
K20V,2015-03-13T08:15:00Z,1.0,-1.0,0,0,,10.0,30.389763,,,,BKN,7500,OVC,9000,,,,,SPECI
K1V6,2015-03-13T08:15:00Z,10.0,0.0,260,8,,10.0,30.268702,,,,BKN,9000,OVC,11000,,,,,SPECI
K1A9,2015-03-13T08:15:00Z,18.0,17.6,90,6,,7.0,30.171259,,,,OVC,600,,,,,,,SPECI
KRNP,2015-03-13T08:15:00Z,-1.3,-9.1,0,0,,10.0,30.351377,,,,CLR,,,,,,,,SPECI
KRCX,2015-03-13T08:15:00Z,6.6,2.5,150,6,,10.0,30.109253,,,,CLR,,,,,,,,SPECI
KPUJ,2015-03-13T08:15:00Z,13.0,11.0,110,18,25,10.0,30.31004,,,-RA,OVC,2000,,,,,,,SPECI
KPKV,2015-03-13T08:15:00Z,14.2,14.0,0,0,,4.0,30.0,,,BR,OVC,10000,,,,,,,SPECI
KOZW,2015-03-13T08:15:00Z,-1.9,-10.1,130,6,,10.0,30.339567,,,,CLR,,,,,,,,SPECI
KOEB,2015-03-13T08:15:00Z,1.8,-7.1,110,6,,10.0,30.31004,,,,CLR,,,,,,,,SPECI
KMOP,2015-03-13T08:15:00Z,-3.5,-6.2,0,0,,10.0,30.339567,,,,CLR,,,,,,,,SPECI
KMGN,2015-03-13T08:15:00Z,0.8,-6.8,0,0,,10.0,30.28937,,,,CLR,,,,,,,,SPECI
KMCX,2015-03-13T08:15:00Z,2.9,-1.1,90,4,,10.0,30.268702,,,,CLR,,,,,,,,SPECI
KCFE,2015-03-13T08:15:00Z,9.3,3.7,190,5,,10.0,30.029528,,,,CLR,,,,,,,,SPECI
KCCU,2015-03-13T08:15:00Z,-3.0,-6.0,30,3,,1.0,30.41929,,,HZ,BKN,200,OVC,2000,,,,,SPECI
KCBG,2015-03-13T08:15:00Z,12.0,5.0,190,8,,10.0,29.991142,,,,CLR,,,,,,,,SPECI
KDRM,2015-03-13T08:15:00Z,-0.1,-3.5,130,8,,10.0,30.339567,,,,BKN,7500,OVC,8000,,,,,SPECI
KCZT,2015-03-13T08:15:00Z,11.0,8.0,0,0,,10.0,30.0,,,,CLR,,,,,,,,SPECI
KCVX,2015-03-13T08:15:00Z,3.6,-9.1,190,3,,10.0,30.318897,,,,CLR,,,,,,,,SPECI
KCPW,2015-03-13T08:15:00Z,-6.0,-7.0,50,15,,10.0,30.389763,,,,SCT,6000,SCT,9500,SCT,12000,,,SPECI
KCKN,2015-03-13T08:15:00Z,0.0,-1.0,290,6,,7.0,30.0,,,,CLR,,,,,,,,SPECI
KCFS,2015-03-13T08:15:00Z,-0.5,-10.3,140,7,,10.0,30.369095,,,,CLR,,,,,,,,SPECI
K28J,2015-03-13T08:15:00Z,19.0,19.0,60,4,,5.0,30.221457,,,BR,OVC,300,,,,,,,METAR
K20U,2015-03-13T08:15:00Z,5.0,0.0,260,12,,10.0,30.209646,,,,CLR,,,,,,,,METAR
K2C8,2015-03-13T08:15:00Z,2.0,-1.0,310,9,,,,,,,CLR,,,,,,,,METAR
K2J9,2015-03-13T08:15:00Z,17.0,17.0,90,7,,9.0,30.221457,,,,OVC,600,,,,,,,METAR
KBYY,2015-03-13T08:15:00Z,14.7,14.7,260,4,,2.5,29.97933,,,BR,BKN,300,OVC,4700,,,,,SPECI
KBPC,2015-03-13T08:15:00Z,6.0,0.0,250,3,,10.0,30.129921,,,,CLR,,,,,,,,SPECI
KBKS,2015-03-13T08:15:00Z,12.1,10.6,0,0,,10.0,29.991142,,,,CLR,,,,,,,,SPECI
KBGE,2015-03-13T08:15:00Z,17.0,16.0,90,10,14,10.0,30.221457,,,,OVC,800,,,,,,,SPECI
KBAC,2015-03-13T08:15:00Z,2.0,2.0,310,9,,10.0,30.050198,,,,CLR,,,,,,,,SPECI
KAZC,2015-03-13T08:15:00Z,1.8,-0.1,0,0,,10.0,30.268702,,,,CLR,,,,,,,,SPECI
KAXS,2015-03-13T08:15:00Z,11.5,4.8,60,5,,10.0,30.088583,,,,CLR,,,,,,,,SPECI
KAUN,2015-03-13T08:15:00Z,13.0,9.0,110,6,,10.0,30.171259,,,,CLR,,,,,,,,SPECI
KASW,2015-03-13T08:15:00Z,1.0,-2.0,100,5,,10.0,30.31004,,,,CLR,,,,,,,,SPECI
KASN,2015-03-13T08:15:00Z,16.0,14.0,100,8,,10.0,30.239174,,,-DZ,OVC,1400,,,,,,,SPECI
KALM,2015-03-13T08:15:00Z,9.0,-2.0,250,5,,10.0,30.088583,,,,SCT,11000,,,,,,,SPECI
KAIB,2015-03-13T08:15:00Z,3.0,-1.0,0,0,,10.0,30.28937,,,,BKN,12000,,,,,,,SPECI
K8W2,2015-03-13T08:15:00Z,-0.4,-3.5,0,0,,10.0,30.519686,,,,CLR,,,,,,,,SPECI
K82V,2015-03-13T08:15:00Z,3.0,-1.0,0,0,,10.0,30.318897,,,,SCT,11000,,,,,,,SPECI
K7W4,2015-03-13T08:15:00Z,0.6,-2.1,0,0,,10.0,30.569881,,,,CLR,,,,,,,,SPECI
K4O4,2015-03-13T08:15:00Z,12.0,11.0,0,0,,7.0,30.0,,,,SCT,100,OVC,800,,,,,METAR
K46D,2015-03-13T08:15:00Z,1.0,1.0,300,10,,0.25,30.079725,,,FG,OVC,100,,,,,,,SPECI
K3LF,2015-03-13T08:15:00Z,8.3,4.0,120,6,,10.0,30.209646,,,-RA,BKN,7000,OVC,9500,,,,,SPECI
K3J7,2015-03-13T08:15:00Z,13.0,13.0,0,0,,10.0,30.339567,,,-DZ,OVC,3600,,,,,,,SPECI
K3I2,2015-03-13T08:15:00Z,6.0,-1.0,0,0,,10.0,30.351377,,,,CLR,,,,,,,,SPECI
K36U,2015-03-13T08:15:00Z,-2.0,-3.0,90,3,,10.0,30.380905,,,,CLR,,,,,,,,SPECI
K2I0,2015-03-13T08:15:00Z,13.3,7.7,150,5,,7.0,30.188976,,,RA,SCT,5500,BKN,6500,OVC,11000,,,SPECI
K1K1,2015-03-13T08:15:00Z,6.6,1.1,60,4,,10.0,30.138779,,,,CLR,,,,,,,,SPECI
K1II,2015-03-13T08:15:00Z,7.0,0.0,0,0,,10.0,30.250984,,,,OVC,11000,,,,,,,SPECI
K1A5,2015-03-13T08:15:00Z,10.2,4.3,0,0,,10.0,30.41929,,,RA,,,,,,,,,SPECI
K19A,2015-03-13T08:15:00Z,14.0,3.0,80,4,,10.0,30.380905,,,,OVC,4000,,,,,,,SPECI
K06D,2015-03-13T08:15:00Z,0.0,0.0,320,8,,10.0,30.059055,,,,FEW,7500,BKN,12000,,,,,SPECI
KDUH,2015-03-13T08:15:00Z,0.0,-5.0,0,0,,10.0,30.360237,,,,CLR,,,,,,,,SPECI
KDTL,2015-03-13T08:15:00Z,6.0,3.0,300,10,,10.0,30.0,,,,CLR,,,,,,,,SPECI
KJZI,2015-03-13T08:15:00Z,13.0,7.0,50,14,21,10.0,30.389763,,,,OVC,3000,,,,,,,METAR
KFDW,2015-03-13T08:15:00Z,13.0,-1.0,80,8,,10.0,30.431103,,,,OVC,6000,,,,,,,METAR
K4I7,2015-03-13T08:15:00Z,6.0,-2.0,100,5,,10.0,30.239174,,,,SCT,11000,,,,,,,METAR
KMYR,2015-03-13T08:15:00Z,11.0,0.0,40,11,17,10.0,30.46063,,,,OVC,8000,,,,,,,SPECI
KMVN,2015-03-13T08:15:00Z,9.0,4.0,20,4,,10.0,30.200787,,,,SCT,3300,BKN,4500,OVC,7000,,,SPECI
KMSV,2015-03-13T08:15:00Z,-6.0,-17.0,320,3,,10.0,30.540354,,,,CLR,,,,,,,,SPECI
KMRF,2015-03-13T08:15:00Z,4.0,-1.0,20,4,,10.0,30.138779,,,,CLR,,,,,,,,SPECI
KMRC,2015-03-13T08:15:00Z,,,140,8,,10.0,30.180119,,,,FEW,5000,BKN,8500,OVC,11000,,,METAR
KMNM,2015-03-13T08:15:00Z,3.0,-3.0,210,9,,10.0,30.209646,,,,CLR,,,,,,,,SPECI
KMNI,2015-03-13T08:15:00Z,11.0,-2.0,60,5,,10.0,30.431103,,,,OVC,4800,,,,,,,SPECI
KMML,2015-03-13T08:15:00Z,8.0,1.0,260,8,,10.0,30.059055,,,,CLR,,,,,,,,SPECI
KMKY,2015-03-13T08:15:00Z,21.0,19.0,60,3,,10.0,30.129921,,,,CLR,,,,,,,,SPECI
KMKT,2015-03-13T08:15:00Z,9.0,3.0,200,14,,10.0,30.059055,,,,CLR,,,,,,,,SPECI
KMJX,2015-03-13T08:15:00Z,-4.0,-9.0,330,4,,10.0,30.590551,,,,CLR,,,,,,,,SPECI
KMHL,2015-03-13T08:15:00Z,12.0,10.0,100,4,,10.0,30.180119,,,,CLR,,,,,,,,SPECI
KMGG,2015-03-13T08:15:00Z,9.0,5.3,190,3,,10.0,30.02067,,,,CLR,,,,,,,,SPECI
KMEZ,2015-03-13T08:15:00Z,13.0,12.0,80,3,,0.5,30.029528,,,,OVC,200,,,,,,,SPECI
KMDS,2015-03-13T08:15:00Z,5.0,2.0,220,4,,10.0,30.100393,,,,CLR,,,,,,,,SPECI
KMBL,2015-03-13T08:15:00Z,3.0,-10.0,150,6,,10.0,30.301182,,,,CLR,,,,,,,,SPECI
KMAO,2015-03-13T08:15:00Z,10.0,-3.0,60,10,15,10.0,30.469488,,,,OVC,8000,,,,,,,SPECI
KM91,2015-03-13T08:15:00Z,14.0,14.0,170,8,,6.0,30.200787,,,,FEW,3000,BKN,3900,OVC,7000,,,METAR
KLXL,2015-03-13T08:15:00Z,6.0,4.0,0,0,,7.0,29.991142,,,,CLR,,,,,,,,SPECI
KLPC,2015-03-13T08:15:00Z,10.0,6.0,80,3,,10.0,30.088583,,,,CLR,,,,,,,,SPECI
KLKV,2015-03-13T08:15:00Z,2.0,-2.0,340,6,,10.0,30.369095,,,,CLR,,,,,,,,SPECI
KLGD,2015-03-13T08:15:00Z,4.0,-2.0,290,3,,10.0,30.389763,,,,CLR,,,,,,,,SPECI
KLEW,2015-03-13T08:15:00Z,-8.0,-19.0,310,6,,10.0,30.519686,,,,CLR,,,,,,,,SPECI
KLCI,2015-03-13T08:15:00Z,-8.0,-17.0,240,6,,,30.528543,,,,CLR,,,,,,,,SPECI
KLBL,2015-03-13T08:15:00Z,6.0,-1.0,190,4,,10.0,30.159449,,,,CLR,,,,,,,,SPECI
KUYF,2015-03-13T08:15:00Z,2.0,-3.0,80,3,,10.0,30.301182,,,,CLR,,,,,,,,SPECI
KRZR,2015-03-13T08:15:00Z,13.0,12.0,0,0,,10.0,30.31004,,,,OVC,4700,,,,,,,METAR
KLKR,2015-03-13T08:15:00Z,13.0,0.0,80,10,,10.0,30.448818,,,,OVC,6000,,,,,,,SPECI
K2V5,2015-03-13T08:15:00Z,7.6,-1.3,330,10,,10.0,30.209646,,,,CLR,,,,,,,,SPECI
K1S5,2015-03-13T08:15:00Z,4.7,1.5,50,3,,10.0,30.351377,,,,CLR,,,,,,,,SPECI
KVDF,2015-03-13T08:15:00Z,21.0,18.0,0,0,,10.0,30.171259,,,,SCT,9000,,,,,,,METAR
KORS,2015-03-13T08:15:00Z,7.0,7.0,0,0,,10.0,30.31004,,,,CLR,,,,,,,,METAR
KOLV,2015-03-13T08:15:00Z,17.0,,110,7,,5.0,30.079725,,,,OVC,800,,,,,,,METAR
K1R7,2015-03-13T08:15:00Z,19.0,19.0,130,8,,,30.041338,,,-RA,,,,,,,,,METAR
KCFJ,2015-03-13T08:15:00Z,4.6,-3.2,110,6,,10.0,30.239174,,,,CLR,,,,,,,,SPECI
KCEY,2015-03-13T08:15:00Z,14.0,14.0,130,6,,10.0,30.15059,,,,OVC,2700,,,,,,,SPECI
KCGC,2015-03-13T08:15:00Z,21.0,19.0,60,4,,10.0,30.180119,,,,BKN,1500,BKN,2100,,,,,SPECI
KCKF,2015-03-13T08:15:00Z,14.8,6.7,90,8,,10.0,30.28937,,,,OVC,2000,,,,,,,SPECI
KCCA,2015-03-13T08:15:00Z,12.0,12.0,0,0,,1.5,30.079725,,,BR,OVC,700,,,,,,,METAR
KM40,2015-03-13T08:15:00Z,18.0,9.0,110,6,14,8.0,30.129921,,,,OVC,1100,,,,,,,METAR
KSNC,2015-03-13T08:15:00Z,-1.0,-15.0,330,4,,10.0,30.590551,,,,CLR,,,,,,,,METAR
KO54,2015-03-13T08:15:00Z,7.0,5.0,0,0,,10.0,30.230314,,,,CLR,,,,,,,,METAR
K4A6,2015-03-13T08:15:00Z,14.0,12.0,130,5,,10.0,30.268702,,,,SCT,2400,BKN,4400,OVC,8500,,,METAR
KUOX,2015-03-13T08:15:00Z,17.0,16.0,120,10,17,4.0,30.100393,,,BR,OVC,500,,,,,,,METAR
KRUG,2015-03-13T08:15:00Z,0.0,0.0,310,8,,0.25,30.088583,,,FZFG,OVC,100,,,,,,,METAR
KCOE,2015-03-13T08:15:00Z,2.0,0.0,110,4,,10.0,30.41929,,,,CLR,,,,,,,,SPECI
KLQK,2015-03-13T08:15:00Z,14.2,-0.4,,,,10.0,30.41929,,,,OVC,6000,,,,,,,SPECI
KGGE,2015-03-13T08:15:00Z,10.0,5.0,50,9,15,10.0,30.43996,,,,OVC,5000,,,,,,,SPECI
KCKI,2015-03-13T08:15:00Z,12.0,2.0,40,5,,10.0,30.448818,,,,SCT,5500,OVC,6500,,,,,SPECI
KLUX,2015-03-13T08:15:00Z,13.0,4.0,70,5,,10.0,30.431103,,,,OVC,5000,,,,,,,SPECI
KGPH,2015-03-13T08:15:00Z,9.0,4.0,0,0,,10.0,30.180119,,,,,,,,,,,,SPECI
KOCF,2015-03-13T08:15:00Z,18.0,17.0,30,3,,10.0,30.209646,,,,CLR,,,,,,,,SPECI
KOAJ,2015-03-13T08:15:00Z,6.0,-2.0,10,5,,10.0,30.499016,,,,CLR,,,,,,,,SPECI
KN03,2015-03-13T08:15:00Z,-8.0,-11.0,0,0,,10.0,30.561024,,,,CLR,,,,,,,,SPECI
KOLU,2015-03-13T08:15:00Z,11.0,-1.0,240,6,,10.0,30.159449,,,,CLR,,,,,,,,SPECI
KOKK,2015-03-13T08:15:00Z,2.0,-2.0,90,6,,10.0,30.280512,,,,CLR,,,,,,,,SPECI
KOCH,2015-03-13T08:15:00Z,13.0,12.0,10,3,,3.0,29.949802,,,,OVC,300,,,,,,,SPECI
KCLS,2015-03-13T08:15:00Z,8.0,8.0,0,0,,6.0,30.28937,,,BR,CLR,,,,,,,,SPECI
KANK,2015-03-13T08:15:00Z,4.6,-0.8,320,4,,10.0,30.41929,,,,SCT,7000,BKN,11000,,,,,METAR
KUES,2015-03-13T08:15:00Z,0.0,-2.0,0,0,,10.0,30.268702,,,,CLR,,,,,,,,METAR
KTMA,2015-03-13T08:15:00Z,13.5,11.1,90,4,,10.0,30.268702,,,,OVC,1500,,,,,,,METAR
KSRR,2015-03-13T08:15:00Z,5.0,-3.0,270,5,,10.0,30.188976,,,,SCT,7500,,,,,,,METAR
KSEE,2015-03-13T08:15:00Z,13.0,7.0,0,0,,10.0,30.041338,,,,CLR,,,,,,,,METAR
KLRO,2015-03-13T08:15:00Z,12.0,6.0,50,8,15,10.0,30.389763,,,,OVC,4100,,,,,,,METAR
KHOE,2015-03-13T08:15:00Z,17.0,15.0,70,5,,7.0,30.268702,,,,OVC,1200,,,,,,,METAR
KGYH,2015-03-13T08:15:00Z,12.0,-3.0,80,10,,10.0,30.431103,,,,OVC,5000,,,,,,,METAR
KEOE,2015-03-13T08:15:00Z,13.0,0.0,80,7,,10.0,30.448818,,,,OVC,5000,,,,,,,METAR
KCKM,2015-03-13T08:15:00Z,18.0,18.0,110,10,,,30.050198,,,,OVC,800,,,,,,,METAR
KBWP,2015-03-13T08:15:00Z,1.0,0.0,280,8,,10.0,30.041338,,,,CLR,,,,,,,,METAR
KBUU,2015-03-13T08:15:00Z,-1.2,-3.1,0,0,,10.0,30.259842,,,,CLR,,,,,,,,METAR
KAIG,2015-03-13T08:15:00Z,1.4,-0.2,170,6,,10.0,30.159449,,,,CLR,,,,,,,,METAR
K5H4,2015-03-13T08:15:00Z,0.0,0.0,300,15,19,0.25,30.100393,,,FG,OVC,100,,,,,,,METAR
KUNI,2015-03-13T08:15:00Z,,,0,0,,10.0,30.339567,,,,CLR,,,,,,,,SPECI
KUKF,2015-03-13T08:15:00Z,8.0,1.0,40,4,,10.0,30.540354,,,,OVC,7000,,,,,,,SPECI
KUBE,2015-03-13T08:15:00Z,7.0,3.0,190,8,,10.0,30.050198,,,,CLR,,,,,,,,SPECI
KU68,2015-03-13T08:15:00Z,5.0,-3.0,240,4,,10.0,30.360237,,,,CLR,,,,,,,,SPECI
KTVK,2015-03-13T08:15:00Z,7.0,7.0,140,4,,10.0,30.200787,,,,CLR,,,,,,,,SPECI
KTVI,2015-03-13T08:15:00Z,16.0,16.0,80,8,14,7.0,30.250984,,,,OVC,800,,,,,,,SPECI
KTRK,2015-03-13T08:15:00Z,-2.0,-3.0,0,0,,10.0,30.369095,,,,CLR,,,,,,,,SPECI
KTNU,2015-03-13T08:15:00Z,6.0,6.0,150,7,,3.0,30.171259,,,BR,CLR,,,,,,,,SPECI
KTIF,2015-03-13T08:15:00Z,11.0,0.0,330,6,,10.0,30.200787,,,,CLR,,,,,,,,SPECI
KTFP,2015-03-13T08:15:00Z,14.3,13.4,40,3,,7.0,29.991142,,,,CLR,,,,,,,,SPECI
KTDF,2015-03-13T08:15:00Z,3.0,-1.0,70,3,,10.0,30.549213,,,,CLR,,,,,,,,SPECI
KTBR,2015-03-13T08:15:00Z,14.7,3.6,80,6,,10.0,30.339567,,,,OVC,2100,,,,,,,SPECI
KTAZ,2015-03-13T08:15:00Z,7.0,3.0,100,4,,10.0,30.221457,,,-RA,BKN,8000,OVC,10000,,,,,SPECI
KT82,2015-03-13T08:15:00Z,7.5,6.4,0,0,,10.0,30.029528,,,,CLR,,,,,,,,SPECI
KT35,2015-03-13T08:15:00Z,13.2,12.5,320,6,,7.0,29.991142,,,,OVC,1200,,,,,,,SPECI
KSYF,2015-03-13T08:15:00Z,8.5,-3.6,340,9,,10.0,30.171259,,,,CLR,,,,,,,,SPECI
KSWW,2015-03-13T08:15:00Z,13.3,4.2,0,0,,10.0,30.100393,,,,CLR,,,,,,,,SPECI
KSVH,2015-03-13T08:15:00Z,11.0,-0.6,60,3,,10.0,30.481298,,,,OVC,7500,,,,,,,SPECI
KSUW,2015-03-13T08:15:00Z,0.4,-0.5,60,7,,10.0,30.041338,,,,CLR,,,,,,,,SPECI
KSTE,2015-03-13T08:15:00Z,3.7,0.0,190,8,,10.0,30.180119,,,,CLR,,,,,,,,SPECI
KSFQ,2015-03-13T08:15:00Z,-1.0,-3.1,0,0,,10.0,30.561024,,,,CLR,,,,,,,,SPECI
KSEZ,2015-03-13T08:15:00Z,11.0,1.0,60,8,,10.0,30.15059,,,,CLR,,,,,,,,SPECI
KSBO,2015-03-13T08:15:00Z,16.0,-6.0,90,8,,10.0,30.339567,,,,OVC,2200,,,,,,,SPECI
KRYV,2015-03-13T08:15:00Z,-0.4,-2.0,0,0,,10.0,30.250984,,,,CLR,,,,,,,,SPECI
KRNH,2015-03-13T08:15:00Z,9.1,5.0,190,10,,7.0,30.050198,,,,CLR,,,,,,,,SPECI
KRCR,2015-03-13T08:15:00Z,3.0,0.0,100,6,,10.0,30.28937,,,,CLR,,,,,,,,SPECI
KRBO,2015-03-13T08:15:00Z,14.7,13.6,,,,10.0,29.991142,,,,CLR,,,,,,,,SPECI
KRAS,2015-03-13T08:15:00Z,14.7,13.0,0,0,,10.0,29.991142,,,,CLR,,,,,,,,SPECI
