No errors
No warnings
217 ms
data source=metars
4712 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
HRYR 151000Z 17005KT 9999 SCT026 26/17 Q1021 NOSIG,HRYR,2015-06-15T10:00:00Z,-1.97,30.12,26.0,17.0,170,5,,6.21,30.147638,,,,,,TRUE,,,,,SCT,2600,,,,,,,VFR,,,,,,,,,,,,METAR,1497.0
MGGT 151000Z 36004KT 9999 SCT012 18/17 Q1023 A3021,MGGT,2015-06-15T10:00:00Z,14.57,-90.53,18.0,17.0,360,4,,6.21,30.206694,,,,,,,,,,,SCT,1200,,,,,,,VFR,,,,,,,,,,,,METAR,1509.0
SBBR 151000Z 23002KT CAVOK 13/10 Q1021,SBBR,2015-06-15T10:00:00Z,-15.87,-47.92,13.0,10.0,230,2,,6.21,30.147638,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,1061.0
TBPB 151000Z 07022KT 9999 FEW018 SCT100 27/22 Q1015 NOSIG,TBPB,2015-06-15T10:00:00Z,13.07,-59.48,27.0,22.0,70,22,,6.21,29.970472,,,,,,TRUE,,,,,FEW,1800,SCT,10000,,,,,VFR,,,,,,,,,,,,METAR,52.0
SBAR 151000Z 28003KT 9999 SCT017 24/23 Q1016,SBAR,2015-06-15T10:00:00Z,-10.97,-37.07,24.0,23.0,280,3,,6.21,30.0,,,,,,,,,,,SCT,1700,,,,,,,VFR,,,,,,,,,,,,METAR,9.0
SBPA 151000Z 28010KT CAVOK 09/06 Q1017,SBPA,2015-06-15T10:00:00Z,-30.0,-51.17,9.0,6.0,280,10,,6.21,30.029528,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,3.0
SBUG 151000Z 25003KT CAVOK 06/04 Q1020,SBUG,2015-06-15T10:00:00Z,-29.77,-57.02,6.0,4.0,250,3,,6.21,30.11811,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,74.0
SVBC 151000Z /////KT 9999 SCT010 24/24 1013,SVBC,2015-06-15T10:00:00Z,10.12,-64.67,24.0,24.0,,,,6.21,,,,,,,,,,,,SCT,1000,,,,,,,VFR,,,,,,,,,,,,METAR,7.0
MDPC 151000Z 00000KT 9999 FEW018 25/24 Q1016,MDPC,2015-06-15T10:00:00Z,18.57,-68.37,25.0,24.0,0,0,,6.21,30.0,,,,,,,,,,,FEW,1800,,,,,,,VFR,,,,,,,,,,,,METAR,12.0
MDST 151000Z 09004KT 9999 SCT019 BKN300 24/23 Q1016,MDST,2015-06-15T10:00:00Z,19.4,-70.6,24.0,23.0,90,4,,6.21,30.0,,,,,,,,,,,SCT,1900,BKN,30000,,,,,VFR,,,,,,,,,,,,METAR,184.0
GVBA 151000Z 02015KT 9999 BKN015 24/19 Q1017 NOSIG,GVBA,2015-06-15T10:00:00Z,16.13,-22.88,24.0,19.0,20,15,,6.21,30.029528,,,,,,TRUE,,,,,BKN,1500,,,,,,,MVFR,,,,,,,,,,,,METAR,22.0
MDSD 151000Z 04004KT 9999 FEW018 24/22 Q1016 NOSIG,MDSD,2015-06-15T10:00:00Z,18.42,-69.67,24.0,22.0,40,4,,6.21,30.0,,,,,,TRUE,,,,,FEW,1800,,,,,,,VFR,,,,,,,,,,,,METAR,18.0
SVMI 151000Z 00000KT 9999 FEW016 26/22 Q1013 NOSIG,SVMI,2015-06-15T10:00:00Z,10.58,-67.0,26.0,22.0,0,0,,6.21,29.911417,,,,,,TRUE,,,,,FEW,1600,,,,,,,VFR,,,,,,,,,,,,METAR,48.0
SBRF 151000Z 34003KT 9999 SCT023 26/24 Q1015,SBRF,2015-06-15T10:00:00Z,-8.13,-34.92,26.0,24.0,340,3,,6.21,29.970472,,,,,,,,,,,SCT,2300,,,,,,,VFR,,,,,,,,,,,,METAR,19.0
SBNT 151000Z 16004KT 9999 FEW023 23/23 Q1015,SBNT,2015-06-15T10:00:00Z,-5.92,-35.25,23.0,23.0,160,4,,6.21,29.970472,,,,,,,,,,,FEW,2300,,,,,,,VFR,,,,,,,,,,,,METAR,49.0
MGMM 151000Z 00000KT 9999 SCT014 SCT090 23/23 Q1012 A2988,MGMM,2015-06-15T10:00:00Z,16.97,-89.87,23.0,23.0,0,0,,6.21,29.88189,,,,,,,,,,,SCT,1400,SCT,9000,,,,,VFR,,,,,,,,,,,,METAR,123.0
