station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KSWF,2015-05-23T01:45:00Z,15.0,1.0,300,10,15,10.0,30.100393,,,,SKC,,,,,,,,METAR
KMWC,2015-05-23T01:45:00Z,10.0,-6.0,160,4,,10.0,30.28937,,,,SKC,,,,,,,,METAR
K05U,2015-05-23T01:45:00Z,10.0,6.0,0,0,,9.0,29.97933,,,,OVC,3700,,,,,,,SPECI, AO1 P0002
KRND,2015-05-23T01:43:00Z,25.0,23.0,100,6,,10.0,30.029528,,,,BKN,1700,,,,,,,SPECI, AO2 BKN V SCT
KGDP,2015-05-23T01:43:00Z,17.8,14.4,60,27,35,9.0,30.029528,,TRUE,,BKN,1800,,,,,,,SPECI, AO2 PK WND 07036/0119 T01780144 $ 
KLFK,2015-05-23T01:42:00Z,24.4,20.0,110,4,,10.0,30.121063,,TRUE,,BKN,2600,OVC,10000,,,,,SPECI, AO2 T02440200 $
KNXF,2015-05-23T01:42:00Z,17.8,11.1,220,5,,9.0,30.041338,,TRUE,,SCT,2300,,,,,,,METAR, AO2 T01780111 PNO $
KVTN,2015-05-23T01:42:00Z,10.0,5.6,160,11,,10.0,30.138779,,,,OVC,3100,,,,,,,METAR, AO2 T01000056
KRSL,2015-05-23T01:42:00Z,12.8,12.8,150,12,,2.5,30.100393,,,BR,OVC,700,,,,,,,METAR, AO2 T01280128 TSNO
KFTK,2015-05-23T01:41:00Z,15.0,11.0,0,0,,10.0,30.259842,,,,FEW,18000,,,,,,,SPECI, AO2
KITR,2015-05-23T01:41:00Z,12.2,11.1,110,19,27,8.0,29.970472,,,,OVC,400,,,,,,,METAR, AO2 PK WND 12027/0133 LTG DSNT W-NE T01220111
KAEX,2015-05-23T01:41:00Z,22.2,18.9,0,0,,10.0,30.15059,,,,SCT,2900,,,,,,,METAR, AO2 T02220189
KPKV,2015-05-23T01:41:00Z,26.0,24.0,110,9,,10.0,30.041338,,,,SCT,1600,,,,,,,METAR, AO2
KDLZ,2015-05-23T01:40:00Z,15.0,0.0,360,4,,10.0,30.259842,,,,CLR,,,,,,,,SPECI, AO2
KLWT,2015-05-23T01:40:00Z,13.9,6.7,140,7,,10.0,29.970472,,,,BKN,5000,,,,,,,METAR, AO2 LTG DSNT E AND SE T01390067
KNY0,2015-05-23T01:40:00Z,8.2,-7.2,280,9,14,10.0,30.100393,,,,SCT,7500,,,,,,,METAR, AO2 T00821072
KHQM,2015-05-23T01:40:00Z,12.2,11.1,220,9,,4.0,30.050198,,,BR,FEW,500,BKN,1200,OVC,2200,,,METAR, AO2 T01220111
