station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KSLH,2015-05-23T22:59:00Z,21.7,2.5,250,14,23,10.0,30.171259,,,,CLR,,,,,,,,METAR, AO2 T02170025
KBDU,2015-05-23T22:58:00Z,13.0,8.0,360,7,,10.0,29.911417,,,,CLR,,,,,,,,METAR, AO2 LTG DSNT W
KJMR,2015-05-23T22:58:00Z,20.0,5.0,170,4,,10.0,30.200787,,,,CLR,,,,,,,,METAR, AO2
KPOV,2015-05-23T22:58:00Z,21.6,-1.5,0,0,,10.0,30.318897,,,,CLR,,,,,,,,METAR, AO2 T02161015
KQSA,2015-05-23T22:58:00Z,19.2,1.4,350,14,,6.21,29.878937,,TRUE,,CLR,,,,,,,,METAR, AO2A SLP026 T01920014 VISNO RWY21 CHINO RWY21 $
KI69,2015-05-23T22:57:00Z,25.0,3.0,190,3,,10.0,30.28937,,,,CLR,,,,,,,,METAR, AO1
KNSI,2015-05-23T22:57:00Z,,,290,22,29,10.0,30.059055,,TRUE,,BKN,1600,,,,,,,METAR, AO2 PK WND 29031/2217 SLPNO $ 
KNQI,2015-05-23T22:56:00Z,29.4,25.6,150,17,26,10.0,29.861221,,TRUE,,SCT,2500,BKN,3400,,,,,METAR, AO2 PK WND 14030/2203 SLP108 T02940256 TSNO $
KISO,2015-05-23T22:56:00Z,26.0,11.0,110,7,,10.0,30.369095,,,,FEW,6000,,,,,,,METAR, AO2
KCEC,2015-05-23T22:56:00Z,13.9,10.6,330,18,26,10.0,30.138779,,,,CLR,,,,,,,,METAR, AO2 PK WND 33027/2211 SLP206 T01390106
KCAE,2015-05-23T22:56:00Z,27.2,6.1,130,8,,10.0,30.318897,,,,CLR,,,,,,,,METAR, AO2 SLP263 T02720061
KBZN,2015-05-23T22:56:00Z,13.3,7.8,350,7,,10.0,30.041338,,,,SCT,4200,BKN,5000,OVC,8000,,,METAR, AO2 RAE01 SLP159 P0000 T01330078
KBOK,2015-05-23T22:56:00Z,18.3,12.2,330,13,18,7.0,30.100393,,,,CLR,,,,,,,,METAR, AO2 T01830122 SLP193
KBMI,2015-05-23T22:56:00Z,25.5,8.8,180,8,19,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 T02550088 SLP224
KBJJ,2015-05-23T22:56:00Z,22.8,1.1,220,7,,10.0,30.318897,,,,CLR,,,,,,,,METAR, AO2 SLP269 T02280011 TSNO
KBIH,2015-05-23T22:56:00Z,20.0,3.9,250,14,22,10.0,29.911417,,,,OVC,9000,,,,,,,METAR, AO2 PK WND 23029/2239 WSHFT 2229 LTG DSNT SE SLP094 T02000039
KBED,2015-05-23T22:56:00Z,16.1,-6.1,280,11,16,10.0,30.259842,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP261 T01611061 $
KART,2015-05-23T22:56:00Z,13.3,-3.9,210,11,17,10.0,30.259842,,,,CLR,,,,,,,,METAR, AO2 SLP250 T01331039
KAND,2015-05-23T22:56:00Z,26.7,6.1,100,6,,10.0,30.318897,,,,CLR,,,,,,,,METAR, AO2 SLP261 T02670061
KAJO,2015-05-23T22:56:00Z,19.4,10.5,310,4,,10.0,30.029528,,TRUE,,FEW,4600,SCT,5500,,,,,METAR, AO2 T01940105 SLP166 $
KADF,2015-05-23T22:56:00Z,30.0,21.6,0,5,,10.0,30.059055,,TRUE,,CLR,,,,,,,,METAR, AO2 T03000216 SLP192 $
K1M4,2015-05-23T22:56:00Z,26.6,16.1,0,4,,10.0,30.250984,,,,CLR,,,,,,,,METAR, AO2 T02660161 SLP254
KY50,2015-05-23T22:56:00Z,26.6,1.6,240,9,,10.0,30.180119,,,,FEW,12000,,,,,,,METAR, AO2 TSNO T02660016 SLP217
KWJF,2015-05-23T22:56:00Z,21.7,7.2,230,20,26,10.0,29.958662,,,,CLR,,,,,,,,METAR, AO2 PK WND 25033/2157 SLP138 T02170072
KVPZ,2015-05-23T22:56:00Z,26.1,5.6,180,7,,10.0,30.221457,,TRUE,,FEW,9000,,,,,,,METAR, AO2 SLP231 T02610056 TSNO $
KUKI,2015-05-23T22:56:00Z,24.4,7.8,330,9,,10.0,29.991142,,,,CLR,,,,,,,,METAR, AO2 SLP152 T02440078
KUCP,2015-05-23T22:56:00Z,22.7,2.2,240,3,,,30.339567,,TRUE,,CLR,,,,,,,,METAR, AO2 T02270022 SLP291 $
KTTF,2015-05-23T22:56:00Z,21.0,5.0,120,7,,10.0,30.268702,,,,CLR,,,,,,,,METAR, AO2
KTPH,2015-05-23T22:56:00Z,18.3,2.8,340,19,25,10.0,29.970472,,,,CLR,,,,,,,,METAR, AO2 PK WND 34026/2221 SLP103 T01830028
KSLE,2015-05-23T22:56:00Z,16.7,10.0,270,6,,10.0,30.171259,,,,OVC,3100,,,,,,,METAR, AO2 SLP218 T01670100
KSHV,2015-05-23T22:56:00Z,26.7,22.2,160,9,,10.0,30.029528,,,-TSRA,FEW,2000,SCT,5000,BKN,10000,BKN,28000,METAR, AO2 RAB38 TSB47 SLP166 OCNL LTGICCG W TS W MOV N P0000 T02670222
KSGH,2015-05-23T22:56:00Z,25.5,6.1,230,5,,5.0,30.318897,,,HZ,CLR,,,,,,,,METAR, AO2 T02550061 SLP261
KSFO,2015-05-23T22:56:00Z,16.1,8.9,250,15,,10.0,30.070866,,,,FEW,1200,SCT,1900,SCT,2400,BKN,18000,METAR, AO2 SLP182 T01610089
KSDF,2015-05-23T22:56:00Z,26.1,7.2,160,6,,10.0,30.239174,,,,FEW,25000,,,,,,,METAR, AO2 SLP238 T02610072
KSBP,2015-05-23T22:56:00Z,17.8,8.9,310,13,,10.0,30.059055,,,,SCT,2800,,,,,,,METAR, AO2 SLP178 T01780089
KRDM,2015-05-23T22:56:00Z,19.4,9.4,350,10,,10.0,30.070866,,,,CLR,,,,,,,,METAR, AO2 SLP173 T01940094
KOWB,2015-05-23T22:56:00Z,25.5,9.4,180,8,,10.0,30.239174,,,,CLR,,,,,,,,METAR, AO2 T02550094 SLP236
KOFK,2015-05-23T22:56:00Z,15.6,12.8,130,10,,10.0,30.070866,,,,BKN,1700,OVC,2100,,,,,METAR, AO2 SLP182 T01560128
