station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KDLZ,2015-05-23T11:00:00Z,6.0,3.0,90,4,,10.0,30.389763,,,,CLR,,,,,,,,METAR, AO2
KSLH,2015-05-23T10:59:00Z,3.3,0.3,0,0,,10.0,30.280512,,,,CLR,,,,,,,,METAR, AO2 T00330003
KBDU,2015-05-23T10:58:00Z,8.0,8.0,0,0,,5.0,30.008858,,,BR,SCT,1400,OVC,2000,,,,,METAR, AO2
KWRI,2015-05-23T10:58:00Z,9.3,-1.0,360,7,,10.0,30.351377,,,,CLR,,,,,,,,METAR, AO2 SLP277 T00931010
KVOK,2015-05-23T10:58:00Z,3.4,3.4,110,4,,10.0,30.280512,,,,CLR,,,,,,,,METAR, AO2 SLP259 T00340034
KTCM,2015-05-23T10:58:00Z,11.0,11.0,180,5,,10.0,30.121063,,,,OVC,1500,,,,,,,METAR, AO2 SLP204
KSUU,2015-05-23T10:58:00Z,13.2,10.6,240,18,,10.0,30.0,,TRUE,,OVC,1000,,,,,,,METAR, AO2 SLP166 T01320106 $
KSKA,2015-05-23T10:58:00Z,12.9,9.6,230,4,,10.0,29.949802,,,,CLR,,,,,,,,METAR, AO2 SLP137 T01290096
KMUI,2015-05-23T10:58:00Z,8.5,-2.3,0,4,,10.0,30.410433,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP301 T00851023 $
KLFI,2015-05-23T10:58:00Z,17.0,8.9,10,6,,10.0,30.369095,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP291 T01700089 $
KFTK,2015-05-23T10:58:00Z,10.9,9.6,0,0,,10.0,30.33071,,,,SCT,17000,,,,,,,METAR, AO2 SLP272 T01090096
KDAA,2015-05-23T10:58:00Z,11.3,0.9,320,4,,10.0,30.41929,,,,FEW,24000,,,,,,,METAR, AO2 SLP304 T01130009
KBLV,2015-05-23T10:58:00Z,14.7,14.5,0,0,,10.0,30.28937,,TRUE,,SCT,10000,,,,,,,METAR, AO2 SLP258 T01470145 $
KQSA,2015-05-23T10:58:00Z,27.1,-1.5,360,22,32,6.21,29.828741,,TRUE,,FEW,7000,,,,,,,METAR, AO2A PK WND 35036/49 SLP011 T02711015 VISNO RWY21 CHINO RWY21 $
KVBG,2015-05-23T10:58:00Z,12.5,10.8,340,9,,10.0,30.100393,,,,FEW,1000,OVC,2300,,,,,METAR, AO2 SLP195 T01250108 TSNO
KSLI,2015-05-23T10:58:00Z,14.0,12.5,0,0,,10.0,30.059055,,,,BKN,2600,,,,,,,METAR, AO2 SLP182 T01400125
