station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KGOV,2015-05-22T19:38:00Z,14.0,-8.0,300,6,21,10.0,30.239174,,,,CLR,,,,,,,,SPECI, AO2
KLCH,2015-05-22T19:38:00Z,25.6,20.0,110,8,,10.0,30.138779,,,,BKN,2000,,,,,,,SPECI, AO2 T02560200
KBAZ,2015-05-22T19:38:00Z,27.2,21.7,130,8,,10.0,30.050198,,,,SCT,2300,BKN,3500,OVC,5500,,,SPECI, AO2 T02720217
KRIL,2015-05-22T19:38:00Z,16.1,5.6,360,5,,10.0,29.949802,,,,FEW,4400,FEW,6500,BKN,10000,,,SPECI, AO2 LTG DSNT NW RAB1859E16 P0001 T01610056
KMUI,2015-05-22T19:38:00Z,21.0,6.0,250,17,23,10.0,30.008858,,,,CLR,,,,,,,,SPECI, AO2 WSHFT 30
KTGI,2015-05-22T19:37:00Z,21.0,11.0,300,8,,10.0,30.121063,,,,CLR,,,,,,,,METAR, AO1
K4I3,2015-05-22T19:37:00Z,20.0,7.0,280,10,,10.0,30.188976,,,,CLR,,,,,,,,METAR, AO2
KMGG,2015-05-22T19:37:00Z,21.8,4.2,80,3,,10.0,30.230314,,,,CLR,,,,,,,,METAR, AO2 T02180042
KI69,2015-05-22T19:37:00Z,22.0,6.0,220,7,18,10.0,30.209646,,,,SCT,6000,BKN,7000,,,,,METAR, AO1
KPOV,2015-05-22T19:37:00Z,16.7,-5.9,280,16,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 T01671059
KRSW,2015-05-22T19:37:00Z,32.2,21.7,290,10,19,10.0,30.050198,,,TS,FEW,5500,,,,,,,SPECI, AO2 LTG DSNT NE AND E TSB06E29B31 T03220217
KPIH,2015-05-22T19:37:00Z,16.1,6.7,0,3,,10.0,29.890747,,,,SCT,6000,SCT,9000,BKN,11000,,,SPECI, AO2 WSHFT 1848 LTG DSNT NE AND W TSE31 T01610067
KTKI,2015-05-22T19:37:00Z,16.1,14.4,0,0,,1.25,30.159449,,TRUE,+TSRA BR,BKN,2800,OVC,3900,,,,,SPECI, AO2 LTG DSNT NE RAB07 TSB1856 P0005 T01610144 $
KUAO,2015-05-22T19:37:00Z,12.8,11.7,210,5,,2.5,30.050198,,,BR,BKN,1000,OVC,1400,,,,,SPECI, AO2 RAE07 CIG 005V013 P0001 T01280117
KTMB,2015-05-22T19:37:00Z,25.6,20.6,250,9,,10.0,30.079725,,,VCTS,FEW,7000,SCT,8000,,,,,SPECI, AO2 LTG DSNT SW-N RAE07 TSE31 P0000 T02560206
KHIF,2015-05-22T19:37:00Z,15.0,11.0,220,15,,8.0,29.899607,,,-TSRA,SCT,3100,BKN,4900,BKN,7000,OVC,9000,SPECI, AO2A RAB27 TSB32
KAVC,2015-05-22T19:36:00Z,21.2,5.6,0,0,,10.0,30.230314,,,,CLR,,,,,,,,SPECI, AO2 T02120056
KMZH,2015-05-22T19:36:00Z,21.0,1.0,350,3,,10.0,30.180119,,,,CLR,,,,,,,,METAR, AO2
KMOP,2015-05-22T19:36:00Z,18.0,-3.3,290,6,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 T01801033
KAUM,2015-05-22T19:36:00Z,22.0,3.0,0,0,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2
KMQJ,2015-05-22T19:36:00Z,23.0,-3.0,300,7,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO1
KLXL,2015-05-22T19:36:00Z,21.0,-1.0,210,3,,10.0,30.221457,,,,CLR,,,,,,,,METAR, AO2
KRZT,2015-05-22T19:36:00Z,23.0,1.0,280,12,17,10.0,30.180119,,,,SCT,8500,SCT,11000,,,,,METAR, AO2
KROS,2015-05-22T19:36:00Z,20.7,1.3,300,3,,10.0,30.221457,,,,CLR,,,,,,,,METAR, AO2 T02070013
K14Y,2015-05-22T19:36:00Z,20.0,1.0,0,0,,10.0,30.221457,,,,CLR,,,,,,,,METAR, AO2
KXVG,2015-05-22T19:36:00Z,22.0,0.0,180,4,,10.0,30.188976,,,,CLR,,,,,,,,METAR, AO2
KAAO,2015-05-22T19:36:00Z,15.0,12.2,140,10,,10.0,30.188976,,,,SCT,1000,BKN,1800,OVC,2400,,,SPECI, AO2 RAE03 P0000 T01500122
KPHN,2015-05-22T19:36:00Z,12.0,1.0,50,10,,10.0,30.239174,,,,CLR,,,,,,,,SPECI, AO2
KCLL,2015-05-22T19:36:00Z,26.1,20.0,140,10,,10.0,30.100393,,,,SCT,2100,,,,,,,SPECI, AO2 T02610200
