station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KSLH,2015-05-25T08:39:00Z,11.2,11.2,0,0,,2.5,29.958662,,,RA,BKN,300,BKN,1600,OVC,2500,,,SPECI, AO2 T01120112
KJMR,2015-05-25T08:39:00Z,13.0,12.0,0,0,,5.0,29.749016,,,DZ,OVC,600,,,,,,,SPECI, AO2 P0001
KMOP,2015-05-25T08:38:00Z,14.8,13.8,60,3,,10.0,29.929134,,,,BKN,10000,,,,,,,SPECI, AO2 T01480138
KBDU,2015-05-25T08:38:00Z,7.0,5.0,0,0,,10.0,29.870079,,,,SCT,9000,,,,,,,SPECI, AO2
KPOV,2015-05-25T08:38:00Z,13.1,8.1,0,0,,10.0,30.121063,,,,CLR,,,,,,,,SPECI, AO2 T01310081
K4I3,2015-05-25T08:37:00Z,17.0,12.0,170,4,,10.0,30.121063,,,,CLR,,,,,,,,SPECI, AO2
KI69,2015-05-25T08:37:00Z,21.0,10.0,180,4,,10.0,30.109253,,,,BKN,7000,,,,,,,SPECI, AO1
KMGG,2015-05-25T08:37:00Z,14.5,14.0,60,6,,10.0,29.71063,,,-DZ,OVC,500,,,,,,,SPECI, AO2 T01450140
KMZH,2015-05-25T08:36:00Z,13.0,12.0,60,6,,10.0,29.749016,,,-RA,BKN,700,OVC,1200,,,,,SPECI, AO2
KLSE,2015-05-25T08:36:00Z,16.7,15.6,100,3,,2.5,29.719488,,,-RA BR,OVC,500,,,,,,,SPECI, AO2 RAB14 CIG 005V010 P0000 T01670156
KBJC,2015-05-25T08:36:00Z,7.0,3.0,270,3,,10.0,29.890747,,,,SCT,5000,,,,,,,SPECI, AO2
KROS,2015-05-25T08:36:00Z,13.8,13.1,60,5,,10.0,29.731298,,,,BKN,500,OVC,1100,,,,,SPECI, AO2 T01380131
KDVN,2015-05-25T08:36:00Z,19.4,17.8,160,17,,6.0,29.731298,,TRUE,-RA BR,BKN,1500,OVC,2100,,,,,SPECI, AO2 RAB03 P0005 T01940178 $
KACT,2015-05-25T08:36:00Z,21.7,20.0,170,11,,10.0,29.878937,,,-RA,OVC,1000,,,,,,,SPECI, AO2 CIG 007V014 P0000 T02170200
KSTP,2015-05-25T08:36:00Z,14.4,13.9,120,6,,2.5,29.698818,,,RA BR,OVC,900,,,,,,,SPECI, AO2 RAB07 P0005 T01440139
KFKS,2015-05-25T08:36:00Z,17.4,14.2,150,5,,7.0,29.878937,,,-RA,SCT,1900,OVC,3600,,,,,METAR, AO2 T01740142
KAVC,2015-05-25T08:36:00Z,14.7,13.1,0,0,,10.0,30.369095,,,,CLR,,,,,,,,METAR, AO2 T01470131
KNUW,2015-05-25T08:36:00Z,11.7,10.6,250,4,,10.0,30.041338,,TRUE,,BKN,800,OVC,2500,,,,,SPECI, AO2 CIG 001 T01170106 $ 
KBZN,2015-05-25T08:36:00Z,5.0,4.4,130,6,,2.5,29.958662,,,BR,BKN,100,,,,,,,SPECI, AO2 T00500044
KAUM,2015-05-25T08:36:00Z,17.0,16.0,210,8,,4.0,29.71063,,,-RA,OVC,300,,,,,,,SPECI, AO2
KMQJ,2015-05-25T08:36:00Z,21.0,10.0,190,8,,10.0,30.02067,,,,CLR,,,,,,,,SPECI, AO1
KLXL,2015-05-25T08:36:00Z,13.0,12.0,50,4,,10.0,29.731298,,,DZ,OVC,800,,,,,,,SPECI, AO2 P0003
KXVG,2015-05-25T08:36:00Z,14.0,13.0,40,6,,10.0,29.799213,,,RA,SCT,5000,SCT,6500,OVC,9000,,,METAR, AO2 P0005
KSJX,2015-05-25T08:35:00Z,11.9,11.6,100,7,,5.0,29.929134,,,-RA,OVC,300,,,,,,,SPECI, AO2 T01190116
KSEM,2015-05-25T08:35:00Z,22.0,19.0,120,6,,10.0,30.129921,,,,FEW,3700,,,,,,,SPECI, AO2
KRQB,2015-05-25T08:35:00Z,15.0,13.0,0,0,,7.0,29.911417,,,,SCT,4400,BKN,6000,,,,,SPECI, AO2 T01500130
KRNP,2015-05-25T08:35:00Z,21.0,10.4,190,9,,10.0,29.958662,,,,CLR,,,,,,,,SPECI, AO2 T02100104
KPZQ,2015-05-25T08:35:00Z,13.4,13.1,360,6,,3.0,30.0,,,+RA,BKN,200,BKN,600,OVC,1300,,,SPECI, AO2 T01340131
KOZW,2015-05-25T08:35:00Z,18.3,11.0,160,5,,10.0,29.991142,,,,CLR,,,,,,,,SPECI, AO2 T01830110
KMGN,2015-05-25T08:35:00Z,14.5,14.0,60,6,,5.0,29.940945,,,+RA,BKN,1500,OVC,2200,,,,,SPECI, AO2 T01450140
KLDM,2015-05-25T08:35:00Z,16.5,14.9,0,0,,7.0,29.890747,,,,BKN,3900,OVC,5000,,,,,SPECI, AO2 T01650149
KJYM,2015-05-25T08:35:00Z,20.2,12.2,170,5,,10.0,30.008858,,,,CLR,,,,,,,,SPECI, AO2 T02020122
KJYG,2015-05-25T08:35:00Z,16.0,16.0,240,5,,0.5,29.698818,,,FG,OVC,200,,,,,,,SPECI, AO2
KSUE,2015-05-25T08:35:00Z,13.0,11.0,140,6,,1.0,29.861221,,,,OVC,200,,,,,,,SPECI, AO1
KSUA,2015-05-25T08:35:00Z,25.0,21.0,130,7,,10.0,30.15059,,,,CLR,,,,,,,,SPECI, AO2
KSRB,2015-05-25T08:35:00Z,22.0,14.0,180,9,,10.0,30.159449,,,,CLR,,,,,,,,METAR,
KSQI,2015-05-25T08:35:00Z,20.0,18.0,150,7,,10.0,29.778543,,,,FEW,2500,SCT,5000,BKN,7000,,,SPECI, AO1
KSPL,2015-05-25T08:35:00Z,29.0,29.0,230,10,,,29.861221,,,,,,,,,,,,SPECI, AO1
KSOP,2015-05-25T08:35:00Z,16.0,12.0,0,0,,10.0,30.33071,,,,CLR,,,,,,,,SPECI, AO1
KSNH,2015-05-25T08:35:00Z,21.0,0.0,200,4,,5.0,30.079725,,,,SCT,800,BKN,1700,OVC,4500,,,METAR,
KSMN,2015-05-25T08:35:00Z,7.0,4.0,0,0,,10.0,29.929134,,,,CLR,,,,,,,,SPECI, AO1
KSLG,2015-05-25T08:35:00Z,15.0,12.0,140,4,,6.0,29.940945,,,,CLR,,,,,,,,SPECI, AO1
KSKX,2015-05-25T08:35:00Z,5.0,0.0,0,0,,10.0,30.029528,,,,BKN,3700,OVC,4600,,,,,SPECI, AO1
KSGU,2015-05-25T08:35:00Z,15.0,10.0,200,6,,10.0,29.929134,,,,CLR,,,,,,,,SPECI, AO1
KSGT,2015-05-25T08:35:00Z,22.0,19.0,,,,10.0,29.991142,,,,FEW,1300,BKN,8000,OVC,9000,,,SPECI, AO1
KSFZ,2015-05-25T08:35:00Z,12.0,7.0,200,3,,10.0,30.239174,,,,CLR,,,,,,,,SPECI, AO1
KSDY,2015-05-25T08:35:00Z,9.0,7.0,0,0,,10.0,29.890747,,,,CLR,,,,,,,,SPECI, AO1
KSBS,2015-05-25T08:35:00Z,3.5,3.0,110,5,,10.0,29.97933,,,,SCT,2400,BKN,3400,OVC,4100,,,SPECI, AO1 T00350030
KRUT,2015-05-25T08:35:00Z,14.0,3.0,120,7,,10.0,30.200787,,,,OVC,9000,,,,,,,SPECI, AO1
KRKD,2015-05-25T08:35:00Z,11.0,7.0,240,3,,10.0,30.138779,,,,CLR,,,,,,,,SPECI, AO1
