station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KCBE,2015-05-25T03:29:00Z,19.0,11.0,360,3,,10.0,30.268702,,,,CLR,,,,,,,,METAR, AO1
KRCA,2015-05-25T03:28:00Z,12.0,12.0,10,6,,2.0,29.870079,,TRUE,BR,OVC,200,,,,,,,SPECI, AO2 VIS 1 1/2V2 $
KMIC,2015-05-25T03:28:00Z,15.0,13.9,90,7,,2.5,29.799213,,,-RA BR,BKN,700,OVC,1500,,,,,SPECI, AO2 P0003 T01500139 TSNO
KMCB,2015-05-25T03:28:00Z,21.7,20.6,220,15,23,2.5,30.079725,,,TSRA BR,SCT,900,BKN,2600,OVC,7000,,,SPECI, AO2 LTG DSNT ALQDS RAB23 TSB20 P0009 T02170206
KJAN,2015-05-25T03:28:00Z,21.7,20.6,110,7,,10.0,30.041338,,,,FEW,1000,BKN,2400,OVC,4200,,,SPECI, AO2 RAE0255 TSE22 CB AND LTG DSNT W P0000 T02170206
KCGI,2015-05-25T03:28:00Z,19.4,18.3,180,15,22,2.5,30.0,,TRUE,RA BR,SCT,1600,BKN,3100,OVC,10000,,,SPECI, AO2 PK WND 20026/0317 WSHFT 0310 RAE0259B16 P0036 T01940183 TSNO $
KBVO,2015-05-25T03:28:00Z,15.6,15.6,170,3,,10.0,29.890747,,,,FEW,700,BKN,1700,,,,,SPECI, AO2 T01560156
KSPW,2015-05-25T03:28:00Z,16.7,16.1,200,6,,10.0,29.769686,,TRUE,,FEW,2200,BKN,2800,OVC,3300,,,METAR, AO2 T01670161 TSNO $
KTVC,2015-05-25T03:28:00Z,15.6,13.9,40,4,,5.0,30.02067,,,RA BR,BKN,700,BKN,3200,OVC,4000,,,SPECI, AO2 P0006 T01560139
KRHI,2015-05-25T03:28:00Z,13.3,12.2,100,10,,5.0,29.970472,,,-RA BR,SCT,500,OVC,5000,,,,,SPECI, AO2 P0005 T01330122
KNEW,2015-05-25T03:28:00Z,25.0,21.1,250,11,,10.0,30.079725,,,,BKN,2100,,,,,,,SPECI, AO2 WSHFT 0308 T02500211 TSNO
KW29,2015-05-25T03:28:00Z,,,150,6,,10.0,30.280512,,,,,,,,,,,,METAR, AO1
K2W6,2015-05-25T03:28:00Z,19.0,14.0,180,3,,10.0,30.301182,,,,CLR,,,,,,,,METAR, AO1
K1M4,2015-05-25T03:27:00Z,19.0,19.0,140,3,,3.0,30.171259,,,RA BR,FEW,100,SCT,1800,BKN,3500,,,METAR, AO2 RAB14 P0005
KAAO,2015-05-25T03:27:00Z,16.7,15.6,,,,10.0,29.84941,,,,BKN,900,,,,,,,METAR, AO2 CIG 007V013 T01670156
KBYG,2015-05-25T03:27:00Z,7.8,7.2,300,6,,8.0,29.949802,,,-RA,SCT,700,OVC,3400,,,,,METAR, AO2 P0003 T00780072
KSGJ,2015-05-25T03:27:00Z,24.0,23.0,70,10,,10.0,30.239174,,,,BKN,1000,,,,,,,METAR, AO2
KOKC,2015-05-25T03:27:00Z,17.8,16.7,110,12,,10.0,29.870079,,,,FEW,500,,,,,,,METAR, AO2 T01780167
KMTH,2015-05-25T03:27:00Z,26.7,22.8,110,7,16,10.0,30.138779,,,VCTS,FEW,2300,SCT,2900,BKN,3600,,,METAR, AO2 LTG DSNT E AND SE T02670228
KMEI,2015-05-25T03:27:00Z,23.3,21.7,170,8,,10.0,30.109253,,TRUE,VCTS,FEW,2400,,,,,,,METAR, AO2 LTG DSNT S T02330217 $
KIXD,2015-05-25T03:27:00Z,17.8,16.7,190,6,,10.0,29.840551,,,,SCT,900,BKN,1300,OVC,11000,,,METAR, AO2 CIG 010V028 T01780167
KHSI,2015-05-25T03:27:00Z,16.7,15.0,150,4,,10.0,29.799213,,,,FEW,2400,FEW,3100,,,,,METAR, AO2 T01670150
KCID,2015-05-25T03:27:00Z,19.4,19.4,160,9,,7.0,29.799213,,,,SCT,600,BKN,1400,,,,,METAR, AO2 T01940194
KFME,2015-05-25T03:27:00Z,15.0,14.0,0,0,,10.0,30.28937,,,,CLR,,,,,,,,METAR, AO1
KCGE,2015-05-25T03:27:00Z,20.0,15.0,170,4,,10.0,30.28937,,,,CLR,,,,,,,,METAR, AO1
KXNA,2015-05-25T03:26:00Z,16.7,16.7,210,6,,10.0,29.911417,,TRUE,,SCT,500,SCT,2300,BKN,6000,,,METAR, AO2 T01670167 $
KCOU,2015-05-25T03:26:00Z,20.0,19.4,90,5,,10.0,29.819881,,,,OVC,400,,,,,,,METAR, AO2 RAE06 CIG 002V009 P0000 T02000194
K05U,2015-05-25T03:25:00Z,10.0,6.0,0,0,,9.0,30.029528,,,,CLR,,,,,,,,METAR, AO1
KSHR,2015-05-25T03:25:00Z,10.0,9.4,360,6,,9.0,29.949802,,,-RA,SCT,500,BKN,2800,OVC,4900,,,METAR, AO2 P0002 T01000094
KOJC,2015-05-25T03:25:00Z,17.8,17.2,190,5,,10.0,29.828741,,,,BKN,1500,OVC,11000,,,,,METAR, AO2 T01780172
