station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KPKV,2015-05-24T11:01:00Z,22.0,21.0,180,5,,10.0,29.878937,,,UP,CLR,,,,,,,,SPECI, AO2
KDLZ,2015-05-24T11:00:00Z,11.0,7.0,0,0,,10.0,30.318897,,,,CLR,,,,,,,,METAR, AO2
KQFX,2015-05-24T11:00:00Z,21.0,7.0,120,2,,6.21,29.769686,,,,CLR,,,,,,,,METAR, A02 TSNO
KQFU,2015-05-24T11:00:00Z,22.0,4.0,70,5,,6.21,29.778543,,,,CLR,,,,,,,,METAR, A02 TSNO
KQFT,2015-05-24T11:00:00Z,23.0,4.0,170,2,,6.21,29.740158,,,,CLR,,,,,,,,METAR, A02 TSNO
KQFB,2015-05-24T11:00:00Z,25.0,6.0,130,1,,6.21,29.790354,,,,FEW,13000,,,,,,,METAR, A02 TSNO
KQEY,2015-05-24T11:00:00Z,23.0,6.0,280,4,,6.21,29.778543,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEX,2015-05-24T11:00:00Z,26.0,6.0,320,3,,6.21,29.749016,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEW,2015-05-24T11:00:00Z,23.0,6.0,160,1,,6.21,29.731298,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEV,2015-05-24T11:00:00Z,21.0,7.0,240,1,,6.21,29.769686,,,,CLR,,,,,,,,METAR, A02 TSNO
KQER,2015-05-24T11:00:00Z,22.0,10.0,190,1,,4.97,29.731298,,,,OVC,1700,,,,,,,METAR, A02 TSNO
KQEQ,2015-05-24T11:00:00Z,21.0,4.0,190,3,,6.21,29.630905,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEN,2015-05-24T11:00:00Z,-3.0,-5.0,,,,6.21,,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEJ,2015-05-24T11:00:00Z,23.0,9.0,90,1,,6.21,29.719488,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEI,2015-05-24T11:00:00Z,22.0,9.0,130,3,,6.21,29.769686,,,,CLR,,,,,,,,METAR, A02 TSNO
KNHK,2015-05-24T10:59:00Z,14.4,10.6,140,3,,10.0,30.398623,,,,SCT,7000,BKN,15000,BKN,25000,,,SPECI, AO2 T01440106
