station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
K05U,2015-05-23T04:45:00Z,8.0,4.0,0,0,,10.0,30.0,,,,OVC,4600,,,,,,,METAR, AO1
KBMQ,2015-05-23T04:44:00Z,22.8,21.1,130,9,,8.0,30.100393,,TRUE,,OVC,1100,,,,,,,SPECI, AO2 CIG 007V015 T02280211 $
KAST,2015-05-23T04:44:00Z,11.7,10.6,220,6,,2.5,30.100393,,,-RA BR,SCT,600,BKN,1200,OVC,1800,,,SPECI, AO2 RAB14 CIG 007 RWY 08 P0001 T01170106
KRCA,2015-05-23T04:43:00Z,9.0,7.0,170,12,,10.0,30.070866,,TRUE,,SCT,2100,BKN,5500,,,,,SPECI, AO2 CIG 050 RWY31 $
KW29,2015-05-23T04:43:00Z,,,320,9,15,10.0,30.239174,,,,,,,,,,,,METAR, AO1
KCBE,2015-05-23T04:43:00Z,12.0,-2.0,360,6,,10.0,30.351377,,,,CLR,,,,,,,,METAR, AO1
K2W6,2015-05-23T04:43:00Z,16.0,8.0,270,3,,10.0,30.250984,,,,OVC,9000,,,,,,,METAR, AO1
KHQM,2015-05-23T04:43:00Z,11.7,11.1,220,9,,5.0,30.079725,,,BR,SCT,700,SCT,1100,OVC,1900,,,METAR, AO2 T01170111
KSXT,2015-05-23T04:43:00Z,6.1,5.6,0,6,,2.5,30.079725,,,BR,BKN,400,,,,,,,METAR, AO2 T00610056
KMTN,2015-05-23T04:42:00Z,14.0,1.0,290,5,,10.0,30.259842,,,,CLR,,,,,,,,METAR, AO2
KFME,2015-05-23T04:42:00Z,13.0,2.0,320,5,,10.0,30.268702,,,,CLR,,,,,,,,METAR, AO1
KVRB,2015-05-23T04:42:00Z,22.8,20.0,0,0,,10.0,30.159449,,,,SCT,1700,BKN,2400,BKN,3300,,,METAR, AO2 T02280200
KSGJ,2015-05-23T04:42:00Z,24.0,21.0,50,11,,10.0,30.221457,,,,SCT,1300,,,,,,,METAR, AO2
KCGE,2015-05-23T04:41:00Z,17.0,8.0,300,8,,10.0,30.230314,,,,CLR,,,,,,,,METAR, AO1
KORB,2015-05-23T04:41:00Z,14.0,1.0,230,0,,10.0,30.121063,,,,CLR,,,,,,,,METAR, AO2
KGUY,2015-05-23T04:41:00Z,14.4,13.3,160,12,20,10.0,30.041338,,,,OVC,900,,,,,,,METAR, AO2 CIG 007V013 T01440133
KGAG,2015-05-23T04:41:00Z,12.8,12.8,150,8,,10.0,30.100393,,,,OVC,500,,,,,,,METAR, AO2 T01280128
KCOT,2015-05-23T04:41:00Z,25.6,23.3,130,9,,8.0,30.029528,,,,BKN,1200,,,,,,,METAR, AO2 T02560233
KPKV,2015-05-23T04:41:00Z,24.0,23.0,120,7,,10.0,30.059055,,,,CLR,,,,,,,,SPECI, AO2
KFDK,2015-05-23T04:40:00Z,12.0,1.0,310,3,,10.0,30.318897,,,,CLR,,,,,,,,METAR, AO2
KDMW,2015-05-23T04:40:00Z,13.0,-5.0,320,6,,10.0,30.268702,,,,SCT,8000,,,,,,,METAR, AO2
KCGS,2015-05-23T04:40:00Z,17.0,5.0,330,4,,10.0,30.250984,,,,CLR,,,,,,,,METAR, AO1
K2G4,2015-05-23T04:40:00Z,5.0,-1.0,360,6,,10.0,30.318897,,,,CLR,,,,,,,,METAR, AO1
KU68,2015-05-23T04:40:00Z,12.0,9.0,0,0,,10.0,29.940945,,,,SCT,6000,SCT,7500,,,,,METAR, AO2 LTG DSNT NW
KQEI,2015-05-23T04:40:00Z,25.0,2.0,180,5,13,6.21,29.861221,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEJ,2015-05-23T04:40:00Z,26.0,2.0,220,2,,6.21,29.799213,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEL,2015-05-23T04:40:00Z,27.0,2.0,260,4,,6.21,29.878937,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEN,2015-05-23T04:40:00Z,-3.0,-5.0,,,,6.21,,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEP,2015-05-23T04:40:00Z,26.0,2.0,260,3,,6.21,29.790354,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEQ,2015-05-23T04:40:00Z,26.0,5.0,240,6,12,6.21,29.71063,,,,CLR,,,,,,,,METAR, A02 TSNO
KQER,2015-05-23T04:40:00Z,25.0,4.0,,,,4.97,29.811024,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEV,2015-05-23T04:40:00Z,27.0,3.0,10,3,,6.21,29.840551,,,,CLR,,,,,,,,METAR, A02 TSNO
KQEW,2015-05-23T04:40:00Z,27.0,3.0,190,2,,6.21,29.811024,,,,CLR,,,,,,,,METAR, A02 TSNO
