station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KDLZ,2015-05-23T20:00:00Z,24.0,2.0,140,4,,10.0,30.351377,,,,CLR,,,,,,,,METAR, AO2
KSLH,2015-05-23T19:59:00Z,22.1,1.4,250,16,22,10.0,30.230314,,,,CLR,,,,,,,,METAR, AO2 T02210014
KBDU,2015-05-23T19:58:00Z,10.0,8.0,0,0,,10.0,29.911417,,,-RA,BKN,4600,BKN,5500,BKN,6500,,,METAR, AO2 LTG DSNT E SE AND W
KFTK,2015-05-23T19:58:00Z,25.1,10.4,0,3,,10.0,30.301182,,,,CLR,,,,,,,,METAR, AO2 SLP261 T02510104
KVBG,2015-05-23T19:58:00Z,15.8,10.6,320,15,18,10.0,30.129921,,,,OVC,1300,,,,,,,METAR, AO2 OVC V BKN SLP206 T01580106 TSNO
KTCM,2015-05-23T19:58:00Z,15.4,11.0,230,7,,10.0,30.180119,,TRUE,,OVC,2200,,,,,,,METAR, AO2 SLP224 T01540110 $
KSUU,2015-05-23T19:58:00Z,19.9,11.5,230,12,,10.0,30.041338,,TRUE,,FEW,20000,,,,,,,METAR, AO2 SLP179 T01990115 $
KSKA,2015-05-23T19:58:00Z,24.0,3.4,0,2,,10.0,30.0,,,,CLR,,,,,,,,METAR, AO2 SLP151 T02400034
KRIV,2015-05-23T19:58:00Z,17.3,9.1,0,0,,10.0,30.070866,,,,OVC,3700,,,,,,,METAR, AO2 SLP178 T01730091
KMUO,2015-05-23T19:58:00Z,24.1,8.4,300,17,23,10.0,29.84941,,TRUE,,FEW,5500,,,,,,,METAR, AO2 LTG DSNT E SLP092 T02410084 $
KLUF,2015-05-23T19:58:00Z,25.2,3.8,210,8,,10.0,29.958662,,TRUE,,FEW,13000,SCT,20000,,,,,METAR, AO2 SLP136 T02520038 $
KLSV,2015-05-23T19:58:00Z,25.2,5.2,0,6,17,10.0,29.878937,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP103 T02520052 $
KGXF,2015-05-23T19:58:00Z,26.0,3.3,220,11,14,10.0,29.958662,,,,CLR,,,,,,,,METAR, AO2 LTG DSNT S SLP137 T02600033
KGRF,2015-05-23T19:58:00Z,14.9,11.7,300,5,,10.0,30.180119,,,,BKN,2000,OVC,2600,,,,,METAR, AO2 SLP224 T01490117
KFHU,2015-05-23T19:58:00Z,21.9,-9.0,270,14,23,8.0,30.050198,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP122 T02191090 $
KDMA,2015-05-23T19:58:00Z,22.3,-4.4,300,7,,10.0,30.008858,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP133 T02231044 $
KAFF,2015-05-23T19:58:00Z,11.7,6.2,110,6,,10.0,29.958662,,,-RA,FEW,4500,,,,,,,METAR, AO2 LTG DSNT S DZB49E51RAB51 TSB1859E14 SLP103 P0000 T01170062
KBLV,2015-05-23T19:58:00Z,25.4,11.1,120,8,,10.0,30.239174,,TRUE,,FEW,9000,SCT,19000,SCT,21000,,,METAR, AO2 SLP241 T02540111 $
KBIF,2015-05-23T19:58:00Z,26.1,-7.9,270,11,20,10.0,29.949802,,TRUE,,CLR,,,,,,,,METAR, AO2 PK WND 26027/01 SLP078 T02611079 $
KBAB,2015-05-23T19:58:00Z,21.4,11.0,0,6,,9.0,30.029528,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP172 T02140110 $
KCVS,2015-05-23T19:58:00Z,24.3,7.3,220,13,21,10.0,29.929134,,TRUE,,CLR,,,,,,,,METAR, AO2 PK WND 23026/26 SLP084 T02430073 $
KFCS,2015-05-23T19:58:00Z,14.1,9.8,130,8,,10.0,29.920275,,TRUE,,FEW,2000,SCT,16000,SCT,20000,,,METAR, AO2A LTG DSNT N AND E AND SW SLP112 T01410098 $
KHMN,2015-05-23T19:58:00Z,25.7,-8.4,220,19,28,10.0,29.949802,,TRUE,,FEW,21000,,,,,,,METAR, AO2 PK WND 23028/49 SLP079 T02571084 $
KINS,2015-05-23T19:58:00Z,22.0,3.9,250,14,21,10.0,29.920275,,TRUE,,FEW,11000,SCT,20000,,,,,METAR, AO2 SLP101 T02200039 $
KLFI,2015-05-23T19:58:00Z,20.5,5.8,0,6,,10.0,30.410433,,TRUE,,CLR,,,,,,,,METAR, AO2 SLP305 T02050058 $
