station_id,observation_time,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,corrected,maintenance_indicator_on,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,metar_type,remark
KI69,2015-05-25T05:17:00Z,21.0,8.0,190,4,,10.0,30.138779,,,,CLR,,,,,,,,METAR, AO1
KJMR,2015-05-25T05:17:00Z,12.0,12.0,0,0,,3.0,29.840551,,,RA,BKN,700,OVC,1200,,,,,METAR, AO2 P0003
KMGG,2015-05-25T05:17:00Z,14.6,14.1,70,9,,7.0,29.778543,,,-DZ,OVC,700,,,,,,,METAR, AO2 T01460141
KXVG,2015-05-25T05:16:00Z,14.0,13.0,0,0,,10.0,29.878937,,,DZ,BKN,7000,OVC,9000,,,,,SPECI, AO2
KMQJ,2015-05-25T05:16:00Z,22.0,8.0,170,9,,10.0,30.070866,,,,CLR,,,,,,,,METAR, AO1
KROS,2015-05-25T05:16:00Z,14.1,13.5,60,4,,10.0,29.819881,,,,SCT,700,OVC,1200,,,,,METAR, AO2 T01410135
KLCI,2015-05-25T05:15:00Z,15.0,4.0,0,0,,10.0,30.171259,,,,CLR,,,,,,,,METAR, AO1
KGPH,2015-05-25T05:15:00Z,17.0,17.0,0,0,,10.0,29.828741,,,,SCT,2300,BKN,5000,OVC,11000,,,METAR, AO2
KLBL,2015-05-25T05:15:00Z,18.0,15.0,250,10,,10.0,29.778543,,,,BKN,1200,OVC,1800,,,,,METAR, AO1 WSHFT 49 LTG DSNT W
KJAC,2015-05-25T05:15:00Z,7.0,3.0,360,11,,10.0,29.958662,,,,SCT,8000,,,,,,,METAR, AO1
KIWD,2015-05-25T05:15:00Z,14.0,13.0,110,7,,10.0,29.878937,,,,FEW,4100,FEW,5000,BKN,9500,,,METAR, AO1
KILE,2015-05-25T05:15:00Z,22.0,18.0,150,9,,10.0,29.911417,,,,CLR,,,,,,,,METAR, AO1
KHYS,2015-05-25T05:15:00Z,16.0,12.0,270,22,31,10.0,29.878937,,,VCTS,BKN,1100,BKN,2400,OVC,2900,,,METAR, AO1 LTG DSNT W TSB09
KHYI,2015-05-25T05:15:00Z,23.0,20.0,160,9,,10.0,29.920275,,,,FEW,2600,,,,,,,METAR, AO1
KHNB,2015-05-25T05:15:00Z,24.0,16.0,170,12,18,10.0,30.050198,,,,FEW,11000,,,,,,,METAR, AO1
KHEF,2015-05-25T05:15:00Z,17.0,14.0,0,0,,10.0,30.259842,,,,CLR,,,,,,,,METAR, AO1
KHDN,2015-05-25T05:15:00Z,6.0,3.0,70,4,,10.0,29.97933,,,,BKN,2700,OVC,3600,,,,,METAR, AO1
KGYL,2015-05-25T05:15:00Z,14.8,14.8,60,5,,7.0,29.749016,,,-DZ,OVC,500,,,,,,,METAR, AO2 T01480148
KGUC,2015-05-25T05:15:00Z,6.0,1.0,240,6,,10.0,30.02067,,,,FEW,5500,,,,,,,METAR, AO1
KGTU,2015-05-25T05:15:00Z,23.0,21.0,170,8,,10.0,29.911417,,,,OVC,1800,,,,,,,METAR, AO1
KGBD,2015-05-25T05:15:00Z,14.0,12.0,120,5,,10.0,29.819881,,,,FEW,7000,SCT,8000,,,,,METAR, AO1
KGAI,2015-05-25T05:15:00Z,19.0,12.0,160,3,,10.0,30.28937,,,,CLR,,,,,,,,METAR, AO1
KFOD,2015-05-25T05:15:00Z,17.0,15.0,200,3,,5.0,29.769686,,,,BKN,1600,OVC,11000,,,,,METAR, AO1
KFNL,2015-05-25T05:15:00Z,8.0,4.0,290,3,,10.0,29.890747,,,,CLR,,,,,,,,METAR, AO1
KFLP,2015-05-25T05:15:00Z,21.0,18.0,180,4,,10.0,29.911417,,,,CLR,,,,,,,,METAR, AO1
KFKA,2015-05-25T05:15:00Z,14.5,14.0,0,0,,1.25,29.790354,,,-RA,OVC,300,,,,,,,METAR, AO2 P0002 T01450140
KFAM,2015-05-25T05:15:00Z,19.0,18.0,180,13,20,10.0,29.970472,,,,BKN,1300,OVC,1800,,,,,METAR, AO1
KEWK,2015-05-25T05:15:00Z,15.0,12.0,200,6,,10.0,29.861221,,,,CLR,,,,,,,,METAR, AO1
KESC,2015-05-25T05:15:00Z,12.0,11.0,10,3,,3.0,29.97933,,,,FEW,500,OVC,1300,,,,,METAR, AO1
KEHR,2015-05-25T05:15:00Z,22.0,18.0,200,13,17,10.0,30.029528,,,,FEW,5500,SCT,8000,BKN,11000,,,METAR, AO1
KEGE,2015-05-25T05:15:00Z,7.0,3.0,300,6,,10.0,29.991142,,,,SCT,5000,OVC,8500,,,,,METAR, AO1
KEEN,2015-05-25T05:15:00Z,12.0,7.0,200,3,,10.0,30.230314,,,,CLR,,,,,,,,METAR, AO1
KEAR,2015-05-25T05:15:00Z,14.0,13.0,170,3,,10.0,29.811024,,,,BKN,800,,,,,,,METAR, AO1
KDYR,2015-05-25T05:15:00Z,21.0,13.0,170,8,,9.0,30.041338,,,,SCT,5000,BKN,6500,OVC,11000,,,METAR, AO1 LTG DSNT NE
KD39,2015-05-25T05:15:00Z,13.6,13.2,40,5,,7.0,29.811024,,,RA,OVC,600,,,,,,,METAR, AO2 P0002 T01360132
