KXBP,2015-05-22T13:55:00Z,15.5,15.5,110,10,15,3.0,30.15059,,,RA,BKN,700,OVC,1100,,,,,METAR, AO2 LTG DSNT N AND NW P0001 T01550155
KTEB,2015-05-22T13:51:00Z,19.4,4.4,330,8,15,10.0,29.911417,,,,CLR,,,,,,,,METAR, AO2 SLP130 T01940044
KQGV,2015-05-22T13:55:00Z,40.0,0.0,120,14,25,5.59,29.648623,,,HZ,SCT,15000,,,,,,,METAR, SLPNO QNH1004 PA +724
KMVH,2015-05-22T13:55:00Z,9.0,3.0,0,0,,10.0,30.02067,,,,CLR,,,,,,,,METAR, AO2
KALO,2015-05-22T13:54:00Z,16.1,6.7,320,3,,10.0,30.200787,,,,CLR,,,,,,,,METAR, AO2 SLP225 T01610067
KOKK,2015-05-22T14:15:00Z,16.0,9.0,320,4,,10.0,30.180119,,,,CLR,,,,,,,,METAR, AO1
KILG,2015-05-22T13:51:00Z,17.8,6.7,290,13,,10.0,30.02067,,,,CLR,,,,,,,,METAR, AO2 SLP166 T01780067
KBYS,2015-05-22T13:55:00Z,11.3,5.6,260,14,23,10.0,29.870079,,TRUE,,FEW,9500,,,,,,,METAR, AO2 SLP104 T01130056 $
KL35,2015-05-22T13:55:00Z,1.0,-1.0,250,5,,7.0,29.970472,,,,OVC,1100,,,,,,,METAR, AO2
KLXT,2015-05-22T13:53:00Z,14.4,10.6,240,5,,10.0,30.280512,,,,CLR,,,,,,,,METAR, AO2 SLP251 T01440106
KMBO,2015-05-22T13:55:00Z,13.0,8.0,90,4,,10.0,30.259842,,,,CLR,,,,,,,,METAR, AO2
KJKL,2015-05-22T14:04:00Z,10.0,8.9,0,3,,9.0,30.28937,,,,FEW,300,,,,,,,SPECI, AO2 T01000089
KDVK,2015-05-22T13:55:00Z,15.0,7.0,280,4,,10.0,30.301182,,,,CLR,,,,,,,,METAR, AO2
KRYT,2015-05-22T13:53:00Z,13.9,5.6,0,4,17,10.0,30.059055,,TRUE,,CLR,,,,,,,,SPECI, AO2 SLP181 T01390056 $
KRKS,2015-05-22T13:54:00Z,6.7,4.4,50,5,,10.0,30.0,,,,OVC,9500,,,,,,,METAR, AO2 SLP120 T00670044
KALN,2015-05-22T13:50:00Z,16.0,11.0,240,8,,10.0,30.239174,,,,SKC,,,,,,,,METAR
KORS,2015-05-22T14:15:00Z,11.0,10.0,170,4,,9.0,29.899607,,,,CLR,,,,,,,,SPECI, AO2
K1YT,2015-05-22T13:56:00Z,16.5,11.5,50,1,,10.0,29.840551,,TRUE,,SCT,11000,,,,,,,METAR, AO2 RAB1256E01SHRAB01E14SHRAB22E40 SLPNO T01650115 $
KBQK,2015-05-22T13:55:00Z,23.0,13.0,10,3,,10.0,30.129921,,,,CLR,,,,,,,,SPECI, AO1
KAXN,2015-05-22T13:53:00Z,15.6,0.6,150,5,,10.0,30.209646,,,,CLR,,,,,,,,METAR, AO2 SLP233 T01560006
KCKI,2015-05-22T14:15:00Z,20.0,14.0,350,6,14,10.0,30.180119,,,,BKN,6000,,,,,,,SPECI, AO2
KLUA,2015-05-22T13:55:00Z,16.0,7.0,220,6,,10.0,30.159449,,,,CLR,,,,,,,,METAR, AO2
K7L2,2015-05-22T13:55:00Z,14.0,7.0,130,6,,10.0,30.171259,,,,CLR,,,,,,,,SPECI, AO2
KJAS,2015-05-22T13:55:00Z,16.2,14.1,50,6,,10.0,30.209646,,,,OVC,800,,,,,,,METAR, AO2 T01620141
KBNL,2015-05-22T13:55:00Z,21.0,10.0,30,13,,10.0,30.171259,,,,BKN,3500,OVC,4400,,,,,METAR, AO2
KMEH,2015-05-22T13:56:00Z,9.4,7.8,0,0,,10.0,29.920275,,,,BKN,6500,OVC,8000,,,,,METAR, AO2 SLP121 T00940078
KCIR,2015-05-22T13:55:00Z,14.7,9.6,260,3,,10.0,30.31004,,,,CLR,,,,,,,,METAR, AO2 T01470096
KPHT,2015-05-22T13:55:00Z,13.0,7.0,10,5,,10.0,30.318897,,,,CLR,,,,,,,,METAR,
KTAZ,2015-05-22T13:55:00Z,16.0,8.0,270,8,,10.0,30.221457,,,,CLR,,,,,,,,SPECI, AO2
KCYS,2015-05-22T13:53:00Z,5.6,5.0,130,14,18,2.5,30.041338,,,RA BR,OVC,200,,,,,,,METAR, AO2 SLP146 P0011 T00560050
KTGI,2015-05-22T13:55:00Z,17.0,9.0,330,15,,10.0,30.100393,,,,CLR,,,,,,,,METAR, AO1
KO69,2015-05-22T13:55:00Z,12.0,10.0,290,5,,10.0,30.008858,,,,OVC,1900,,,,,,,METAR, AO1
KPVF,2015-05-22T13:55:00Z,9.0,9.0,0,0,,9.0,30.0,,,,FEW,200,OVC,4100,,,,,SPECI, AO1
KAXX,2015-05-22T13:55:00Z,3.5,1.9,150,4,,10.0,30.180119,,,,OVC,1900,,,,,,,METAR, AO2 T00350019
KM25,2015-05-22T13:55:00Z,14.0,10.0,0,0,,10.0,30.318897,,,,CLR,,,,,,,,METAR, AO2
KMJQ,2015-05-22T14:13:00Z,17.0,0.0,0,0,,10.0,30.221457,,,,CLR,,,,,,,,METAR, AO2
KLVL,2015-05-22T13:56:00Z,16.0,7.0,350,7,,10.0,30.159449,,,,CLR,,,,,,,,SPECI, AO2
KTRM,2015-05-22T13:52:00Z,18.3,6.1,340,16,,10.0,29.861221,,,,CLR,,,,,,,,METAR, AO2 SLP113 T01830061 TSNO
KMTO,2015-05-22T13:53:00Z,16.7,8.9,270,7,,10.0,30.200787,,,,CLR,,,,,,,,METAR, AO2 SLP227 T01670089
KP28,2015-05-22T13:56:00Z,10.6,10.0,140,7,,,30.200787,,,,,,,,,,,,METAR, AO1 SLP226 T01060100
KIGQ,2015-05-22T13:55:00Z,14.9,7.6,340,4,,10.0,30.180119,,,,CLR,,,,,,,,METAR, AO2 T01490076
KCRG,2015-05-22T13:53:00Z,24.4,16.7,0,3,,10.0,30.109253,,,,CLR,,,,,,,,METAR, AO2 SLP196 T02440167
KMHR,2015-05-22T13:50:00Z,13.0,10.0,180,5,,10.0,29.97933,,,,OVC,1600,,,,,,,METAR
KPNA,2015-05-22T13:55:00Z,6.0,6.0,290,4,,10.0,30.029528,,,,CLR,,,,,,,,SPECI, AO2
KIIB,2015-05-22T13:55:00Z,16.0,6.0,10,4,,10.0,30.188976,,,,CLR,,,,,,,,METAR, AO2
KLNS,2015-05-22T13:53:00Z,16.7,6.1,280,14,19,10.0,30.02067,,,,CLR,,,,,,,,METAR, AO2 SLP165 T01670061
